"gamma","lambda_0","theta"
18.1744654239466,15.236477467112,1.49803456564595
17.9910208417451,14.8003556547298,1.41659068143072
16.1811988687385,14.83580496038,1.30007126966725
15.9707862362716,14.7574681494011,1.16552891047676
17.1498590053931,14.439982180458,1.28262666655348
18.2905329961133,14.5416485072691,1.33420586917343
16.227542642188,15.0829598401863,1.30102771835255
16.5551090612118,14.006551333773,1.14214955500011
17.0329452379754,14.8310622256941,1.28499473327511
17.624217720446,14.9766879858475,1.36584312128805
16.5350350300881,14.0671446242771,1.11137798831319
17.0619874653458,14.1102515714696,1.20070737590193
15.9943390814692,14.8111182476138,1.19722334544789
17.700735411565,14.741654773261,1.32368230025729
16.5844431771343,14.2014705250245,1.21997402182922
17.125393217502,14.1090224525569,1.24691697911445
17.4560409184374,14.9745903402438,1.40150480991419
16.9565779988781,13.5848587618727,1.06091674892304
17.6388314039021,14.7684641888974,1.38563695960702
15.5125707298219,14.5977979782011,1.20671163321437
16.2028285982575,14.4065228248291,1.13463003396003
17.3648617298717,14.6362070000605,1.32648323196002
17.4060799632176,15.0194419258048,1.36924221594491
17.3749706166061,14.6366826753335,1.3963926662679
16.5129658079042,14.7618555515578,1.23954425603517
16.541748265933,14.3143704073828,1.22872101144139
17.3225924269037,14.6589569419565,1.25127934355897
17.2248501478367,14.6404808023015,1.30504901682438
18.2459354749711,14.4134967801439,1.35691639457053
15.8068418845536,14.9254724548221,1.26044002582492
17.4793192508026,14.2394485330528,1.25050043982608
18.2696447579978,15.6425214532499,1.50579484777585
17.3377235482082,14.838163004056,1.37707503756816
18.0384805170693,14.5503253671645,1.34698891592961
17.3393314567764,14.9161347364232,1.28063719994272
18.2208392098817,14.698452707396,1.3769614936338
16.6391512043017,14.8948114172335,1.31765752000667
18.6418608528524,14.6875735887855,1.41508953904333
17.8185062396716,14.8921394748508,1.46252013986861
18.7212737090168,14.1088301781167,1.31613869442097
17.6098035202666,14.0448034173877,1.20501378613287
18.672748861142,15.4146254434486,1.56027053859878
16.6462888447058,14.5792805785736,1.19445856548331
16.5925689962443,14.2637166300928,1.18841763086454
16.2812274119865,15.2454435995342,1.35185014545824
16.3972026755007,14.4015830906443,1.1433720535947
16.009131669824,15.1727179887149,1.3313609296465
17.7365877303448,15.0695181149771,1.36917102504776
16.492758978323,14.7174170986735,1.20334715058919
16.1159322962845,14.2087863352577,1.09049861651544
15.6888184839554,14.522044071143,1.1835874006502
15.393832985559,14.7648785951874,1.22319819886137
16.7798498181825,14.2229971443616,1.26306989733312
18.0920350725486,14.3743864615336,1.29794671449183
16.5167309798659,14.18802277474,1.12039952018051
17.7010874644584,15.97776756601,1.53947482211426
17.0037268813421,14.2716905986808,1.17554271029936
16.7681235843183,14.8317826645622,1.27760060464932
17.5103000333567,14.1787236897452,1.22610443403861
16.1950415131563,14.6358516175836,1.230751311596
17.5696124689699,14.2663065407205,1.26165453609487
16.5268143189414,14.6571742393,1.25606927809778
16.5902294989404,15.5669674696726,1.36693202640115
17.3977885994803,14.4934962628675,1.32633888578754
17.0621787564781,13.8663094761889,1.1262720713377
16.2308013293037,14.8286783103687,1.35370266247976
17.005845841803,14.2420869404893,1.23701025171696
16.5576013462139,14.9273823793677,1.31950581455581
16.7340951077932,15.1630651159856,1.40077009908654
16.8749612896958,14.8231825373368,1.22556263810084
16.0962082804348,14.3717643918638,1.10475988669964
17.5229325237793,14.425742757849,1.28119030562383
16.2457703572369,14.5272869880312,1.27008251979678
17.9550293558821,14.5222333266756,1.41229534647591
16.537051249866,14.1058792303927,1.12104261928464
16.8628945984575,14.4873118288207,1.260589168816
16.9553028039079,13.7268583374457,1.09623409191139
16.9560214436498,14.5451446267482,1.28677139518237
18.0751076786359,14.0382226274967,1.22833613699775
