"gamma","lambda_0","theta"
9.36361584288232,20.775171960126,2.33561339524444
10.4415719964515,19.219084424129,2.2863872777304
10.1957435078843,19.8938573953644,2.33840467426563
4,25.2184437825988,2.41196460548613
8.02918900474354,19.5293440249159,2.21646811369805
9.8763598428909,19.9180420018632,2.2848000655761
8.3805504532359,20.5017063832096,2.30943668500541
9.16968449301609,19.0223006403711,2.21986380609593
8.91422433407545,21.3435384268642,2.34105044543371
4,22.8008381605188,2.28593785266247
7.84285323926762,19.1568166658533,2.19187650581238
5.24732428242475,22.8081899428803,2.30311976741863
10.1852635908587,19.0409123913568,2.2612333286548
10.4211996297381,19.1641841553016,2.30738544346925
9.26960872845082,19.6913313401509,2.26386168324128
6.57387872357528,21.6415543435508,2.31551563637043
9.70231983350383,18.7839701996626,2.22337123984991
9.16751310892336,20.2697597496582,2.322859483343
9.27138204086604,20.0726771780602,2.29793344850134
7.11683606371848,21.0223289646781,2.26936678134924
9.32994664701866,19.6714033059994,2.26819948129727
7.28886849406137,20.873884760987,2.28750783291113
6.857660453633,20.5522648710854,2.24888964135787
10.3163174542861,19.478485900165,2.30853059762354
8.88870688051992,20.0791130732968,2.32784233958247
8.86440871627333,19.8510255063648,2.25249320724309
9.5988186105716,20.0758327904161,2.32172977141211
8.82575259486117,19.2946405837614,2.24579161930606
7.84980394108746,21.5467397672968,2.3179979748051
9.86079872858646,19.4668579051049,2.27634471915731
9.68698640649765,19.4180149824471,2.28356277282938
8.34578742246348,20.3026753518806,2.27946183147506
9.57085966549628,18.0501802274684,2.2249770498713
9.66694871880693,19.0143916970721,2.25163536317355
9.28224507484632,20.460448788158,2.33970925251496
7.42382199812509,21.2965261923202,2.31388326631535
11.1418580184638,19.8950951576414,2.32319797604027
8.10490361879923,20.0957687832339,2.26487340105318
6.81478001402565,20.0435717991164,2.22692364353939
9.69491003876873,19.1300123207182,2.25430319032671
5.44554241501276,21.5907549053769,2.26838066988306
8.43204751259193,19.2901307687658,2.2319436211375
10.3772650724931,20.3503087288111,2.32984725395567
7.13946468488308,20.9210813161392,2.26264413504177
7.8369421001108,19.5658126267769,2.21533043151832
9.48069565807192,20.5406247010017,2.31993594024152
9.26892992991568,18.4297931248474,2.19513080525821
7.64174978226204,21.1399044353717,2.29156820200911
9.53356605951919,20.105468482555,2.31939539832265
10.0094367787232,19.344773796732,2.26205196879044
4,24.0687191474002,2.34054331477211
10.4258781455557,18.9760135891072,2.258441501824
11.193013910192,20.1986589703339,2.38014193835927
7.11360178515895,20.6207049168575,2.27155195560216
10.7934293284949,18.6244802227196,2.23054803328221
8.40073812514284,19.8662070568339,2.25463248869431
9.46198902209086,19.3851396990345,2.26279892979567
7.99843105901773,19.4681954245479,2.20891874091279
7.32804542959573,21.251001238323,2.29168054278079
8.61579951995618,20.6874627603234,2.30563234831533
9.35578641504088,21.0569940754606,2.36596281074864
7.67691510179072,21.1725449687367,2.29552596946825
10.12935322096,19.0479115155558,2.25581398703466
9.00546060378901,20.2472347241516,2.28168872587901
4,23.7470762698477,2.31293820651703
9.06358998259432,20.5558229928834,2.30765502524989
7.88844931812965,19.1393985974942,2.19322180651251
9.51204403805969,19.5766041147651,2.27051826672197
6.80471290322445,21.2929389817661,2.27695351261109
6.40588195879256,21.5283142254047,2.28269100553619
10.3584118563823,18.6663933689717,2.26471753823039
9.43254195193471,19.8783546936122,2.2889435759843
10.3399377419112,20.085400943318,2.33302010492953
9.35319282441587,19.8313634553956,2.30181667814433
5.91138797492137,22.2908539289412,2.30817670426614
8.91450818476957,19.1047807198112,2.21227846799392
8.31928692541388,19.8354003249802,2.25232192366602
4,25.0197417399746,2.38530406929626
9.71530233481418,19.4590413542202,2.28235603053972
8.59097835848121,20.6162906798574,2.29474477905673
10.0990002952218,19.3991063426593,2.26847690510986
4.57247995616271,23.9470332063228,2.32553276701833
8.79133770880015,19.641803519004,2.24267145762634
10.0539715267757,17.9695504229085,2.18764420001347
4.59245817423353,24.3404249120695,2.37229929799579
8.18014801411793,20.8471704916505,2.28757206032974
7.77140131391036,20.3163697281364,2.27276667313533
10.3184349473925,19.6301297444207,2.28119230809675
