"gamma","lambda_0","theta"
6.84631055588436,20.5147650653803,2.07009455079318
6.3647071351632,21.4277082110091,2.14197507118062
4,23.034044009904,2.12449416363625
5.65533594840055,21.7451221385675,2.11141377961616
6.02300893216604,20.8797323444355,2.12380272273284
5.86132632830857,21.21816266603,2.10926067748865
6.32287978435652,20.6770238857056,2.05692438769877
6.46050188830695,21.3687295111884,2.15293916129888
5.82176783080479,21.2023994361607,2.10975623555501
6.6931410185546,21.2639192841292,2.10916235209341
6.62035492986793,22.0293703756286,2.19176681782607
7.47468566205965,21.2472548494683,2.17534882493405
7.2706648110079,21.0056490809419,2.14646881785881
5.84303664309457,21.3565452440995,2.1075978295838
5.43815547384196,22.1337471644729,2.10918956424974
5.6675377699255,22.5113425386336,2.18539694768789
5.51996745438581,21.5637861370944,2.09756258577962
5.63415890424409,22.7443575236322,2.20357722927481
5.82098205338438,21.7744252654637,2.14651170516355
5.59138066678682,22.3188527982181,2.18496352625648
6.13281990508895,21.72821475201,2.14344261449573
7.02073639314167,20.9874963196044,2.10848193892146
7.58790977230526,20.6553841814588,2.09958367283281
6.05927907201438,20.8498868799962,2.08204901914792
6.66980911848945,21.327026425199,2.13075656290955
5.06158761870211,21.3194429600079,2.08622783547325
6.70719226275926,21.729823526122,2.1774398002195
5.80686129413307,21.5540851735393,2.12921395840735
5.78720181385274,22.018127475959,2.16677883906266
7.05418588110986,20.4342749737965,2.06949581879427
6.13565412680699,20.9788535703979,2.08041882373524
5.56123938295638,21.319794628053,2.05868815527287
5.5774241596172,21.9567285610089,2.16535244718395
6.61978364480141,19.8766310893869,2.00360360887905
5.17991212797882,23.4925266568126,2.2133081797649
6.53670063610137,20.2437163200241,2.05131005011196
6.18569507550037,21.2012751761327,2.09446689206217
6.9512599174583,21.5950088090563,2.20753887886459
5.45919181713754,22.0545384941927,2.15463181251817
6.4374798009733,21.2935491560742,2.10557547889774
6.81316055339731,21.1263347557576,2.1446754095465
6.859012364329,21.4096531966334,2.13273006111733
5.20675852973452,22.426877212872,2.16276863052518
6.92626628603523,21.4426057416338,2.1316613761862
7.25037977017232,20.9905528851489,2.11191505762829
7.23796443621404,20.6278534607188,2.11650746311911
5.6691702928096,21.0690166405565,2.04614274811941
5.93932139948853,21.161438476697,2.06873493712601
5.74210777253169,21.2981369938917,2.10573281599255
6.29658403712073,22.216308204955,2.21206508205477
6.81745314301673,21.3552123193284,2.15191025807961
6.11285949205867,22.2154345055398,2.15962979976468
6.67391111733567,20.8381683916983,2.12703675900032
6.49001110202613,20.8628151553282,2.1015211306056
5.84405832853031,21.4688399302083,2.11258592592312
4.96061289768637,21.8428186310904,2.1019048391881
5.92921488264926,22.1378158744229,2.17743267963017
5.7198158689139,21.6405358337444,2.13425423925986
6.29449795578453,21.225714323479,2.09988640063907
5.19538185807564,21.6463533993294,2.10961954914048
6.15693461978562,21.4230188518543,2.11321874106384
6.27483676088856,22.0682890976699,2.17348916475097
6.48510799256306,20.870417687763,2.07946028811377
6.31310930659904,21.4258548604582,2.09767321672291
6.08286842517109,20.9085758939257,2.10236125714726
6.4263906548001,21.1998627577367,2.14101885690304
7.19288412688466,21.1747488402815,2.12644929450964
5.3280512936552,20.7170046818148,2.02366160782562
4.84706140357555,22.2510086642664,2.12515414351103
6.16798640029912,21.4186023875932,2.1553329755065
6.64165650650446,21.9519919662263,2.22265990803596
