"gamma","lambda_0","theta","negLogLik"
0.4,0.1,1.25,1.9258130278795
2.66285714285714,0.1,1.25,0.539000684858705
4.92571428571429,0.1,1.25,0.087082484000319
7.18857142857143,0.1,1.25,-0.159764476174847
9.45142857142857,0.1,1.25,-0.31295780373832
11.7142857142857,0.1,1.25,-0.412162894069275
13.9771428571429,0.1,1.25,-0.476169332319382
16.24,0.1,1.25,-0.515384858858338
18.5028571428571,0.1,1.25,-0.536184582695224
20.7657142857143,0.1,1.25,-0.542759393299015
23.0285714285714,0.1,1.25,-0.53801293523906
25.2914285714286,0.1,1.25,-0.524040518022983
27.5542857142857,0.1,1.25,-0.502404042285014
29.8171428571429,0.1,1.25,-0.47429909760922
32.08,0.1,1.25,-0.440661325782018
34.3428571428571,0.1,1.25,-0.402236761644246
36.6057142857143,0.1,1.25,-0.359629871560955
38.8685714285714,0.1,1.25,-0.313337273861045
41.1314285714286,0.1,1.25,-0.263771976978461
43.3942857142857,0.1,1.25,-0.211281166316224
45.6571428571429,0.1,1.25,-0.156159497208505
47.92,0.1,1.25,-0.0986591915635559
50.1828571428571,0.1,1.25,-0.0389978185603109
52.4457142857143,0.1,1.25,0.0226356308135773
54.7085714285714,0.1,1.25,0.086075945102398
56.9714285714286,0.1,1.25,0.151177860857045
59.2342857142857,0.1,1.25,0.217812973312324
61.4971428571428,0.1,1.25,0.285867223109786
63.76,0.1,1.25,0.35523883475861
66.0228571428571,0.1,1.25,0.425836612745593
68.2857142857143,0.1,1.25,0.497578523308125
70.5485714285714,0.1,1.25,0.570390506244096
72.8114285714286,0.1,1.25,0.644205473376056
75.0742857142857,0.1,1.25,0.718962459543805
77.3371428571429,0.1,1.25,0.794605899065304
79.6,0.1,1.25,0.871085006047267
0.4,0.665714285714286,1.25,0.936491099790454
2.66285714285714,0.665714285714286,1.25,0.178919076075035
4.92571428571429,0.665714285714286,1.25,-0.14879359648092
7.18857142857143,0.665714285714286,1.25,-0.337925931334026
9.45142857142857,0.665714285714286,1.25,-0.456756546056352
11.7142857142857,0.665714285714286,1.25,-0.532777873106781
13.9771428571429,0.665714285714286,1.25,-0.579905318463327
16.24,0.665714285714286,1.25,-0.606183791992955
18.5028571428571,0.665714285714286,1.25,-0.61669308879428
20.7657142857143,0.665714285714286,1.25,-0.614849877225169
23.0285714285714,0.665714285714286,1.25,-0.603064284509435
25.2914285714286,0.665714285714286,1.25,-0.583100947459642
27.5542857142857,0.665714285714286,1.25,-0.55629120136901
29.8171428571429,0.665714285714286,1.25,-0.523664548068251
32.08,0.665714285714286,1.25,-0.486033695096629
34.3428571428571,0.665714285714286,1.25,-0.444051568528415
36.6057142857143,0.665714285714286,1.25,-0.398250711318427
38.8685714285714,0.665714285714286,1.25,-0.349071225209635
41.1314285714286,0.665714285714286,1.25,-0.296881038592218
43.3942857142857,0.665714285714286,1.25,-0.241990900513796
45.6571428571429,0.665714285714286,1.25,-0.184665667866109
47.92,0.665714285714286,1.25,-0.125132934743406
50.1828571428571,0.665714285714286,1.25,-0.063589721958021
52.4457142857143,0.665714285714286,1.25,-0.000207727988562383
54.7085714285714,0.665714285714286,1.25,0.0648625023627297
56.9714285714286,0.665714285714286,1.25,0.131488234264283
59.2342857142857,0.665714285714286,1.25,0.199551835478915
61.4971428571428,0.665714285714286,1.25,0.268948565199182
63.76,0.665714285714286,1.25,0.339584753723057
66.0228571428571,0.665714285714286,1.25,0.411376292829165
68.2857142857143,0.665714285714286,1.25,0.484247375261487
70.5485714285714,0.665714285714286,1.25,0.558129435531116
72.8114285714286,0.665714285714286,1.25,0.632960254615382
75.0742857142857,0.665714285714286,1.25,0.708683199010565
77.3371428571429,0.665714285714286,1.25,0.785246570630133
79.6,0.665714285714286,1.25,0.862603048706198
0.4,1.23142857142857,1.25,0.494775200659084
2.66285714285714,1.23142857142857,1.25,-0.0293558424743486
4.92571428571429,1.23142857142857,1.25,-0.287354120191196
7.18857142857143,1.23142857142857,1.25,-0.441010832096985
9.45142857142857,1.23142857142857,1.25,-0.537837834233553
11.7142857142857,1.23142857142857,1.25,-0.598672579015066
13.9771428571429,1.23142857142857,1.25,-0.634587213341571
16.24,1.23142857142857,1.25,-0.652192035003731
18.5028571428571,1.23142857142857,1.25,-0.655758664489522
20.7657142857143,1.23142857142857,1.25,-0.648211121160234
23.0285714285714,1.23142857142857,1.25,-0.631640818375226
25.2914285714286,1.23142857142857,1.25,-0.607596382009164
27.5542857142857,1.23142857142857,1.25,-0.577257156900795
29.8171428571429,1.23142857142857,1.25,-0.541542353804808
32.08,1.23142857142857,1.25,-0.501182555242323
34.3428571428571,1.23142857142857,1.25,-0.456768178357301
36.6057142857143,1.23142857142857,1.25,-0.408783280371559
38.8685714285714,1.23142857142857,1.25,-0.357629731185862
41.1314285714286,1.23142857142857,1.25,-0.303644874372513
43.3942857142857,1.23142857142857,1.25,-0.247114676967237
45.6571428571429,1.23142857142857,1.25,-0.188283685608259
47.92,1.23142857142857,1.25,-0.127362677969279
50.1828571428571,1.23142857142857,1.25,-0.0645346222411575
52.4457142857143,1.23142857142857,1.25,4.06247863546311e-05
