"gamma","lambda_0","theta","ave_neg_lik"
0.5,1,0.5,0.414494752246947
0.552631578947368,1,0.5,0.408309347025023
0.605263157894737,1,0.5,0.40263128059876
0.657894736842105,1,0.5,0.397432513944272
0.710526315789474,1,0.5,0.392687354698614
0.763157894736842,1,0.5,0.38837219699516
0.81578947368421,1,0.5,0.384465296857961
0.868421052631579,1,0.5,0.380946577424673
0.921052631578947,1,0.5,0.377797459324021
0.973684210526316,1,0.5,0.375000712372226
1.02631578947368,1,0.5,0.372540325422728
1.07894736842105,1,0.5,0.370401391742394
1.13157894736842,1,0.5,0.368570007723327
1.18421052631579,1,0.5,0.36703318309415
1.23684210526316,1,0.5,0.365778761084917
1.28947368421053,1,0.5,0.364795347238531
1.34210526315789,1,0.5,0.364072245758793
1.39473684210526,1,0.5,0.36359940244906
1.44736842105263,1,0.5,0.363367353432067
1.5,1,0.5,0.36336717895587
0.5,1.10526315789474,0.5,0.384621245755244
0.552631578947368,1.10526315789474,0.5,0.379819449451023
0.605263157894737,1.10526315789474,0.5,0.375458042013841
0.657894736842105,1.10526315789474,0.5,0.371514200870509
0.710526315789474,1.10526315789474,0.5,0.367966898799976
0.763157894736842,1.10526315789474,0.5,0.364796716462553
0.81578947368421,1.10526315789474,0.5,0.361985679107197
0.868421052631579,1.10526315789474,0.5,0.359517113774003
0.921052631578947,1.10526315789474,0.5,0.357375523951817
0.973684210526316,1.10526315789474,0.5,0.355546479167877
1.02631578947368,1.10526315789474,0.5,0.354016517404759
1.07894736842105,1.10526315789474,0.5,0.35277305858043
1.13157894736842,1.10526315789474,0.5,0.351804327605856
1.18421052631579,1.10526315789474,0.5,0.351099285763827
1.23684210526316,1.10526315789474,0.5,0.350647569342082
1.28947368421053,1.10526315789474,0.5,0.350439434611192
1.34210526315789,1.10526315789474,0.5,0.350465708368814
1.39473684210526,1.10526315789474,0.5,0.350717743381894
1.44736842105263,1.10526315789474,0.5,0.351187378150805
1.5,1.10526315789474,0.5,0.351866900497443
0.5,1.21052631578947,0.5,0.361078252684952
0.552631578947368,1.21052631578947,0.5,0.357474072524167
0.605263157894737,1.21052631578947,0.5,0.354255827006355
0.657894736842105,1.21052631578947,0.5,0.351404687755491
0.710526315789474,1.21052631578947,0.5,0.348903223663108
0.763157894736842,1.21052631578947,0.5,0.346735262998555
0.81578947368421,1.21052631578947,0.5,0.344885772353759
0.868421052631579,1.21052631578947,0.5,0.343340749991394
0.921052631578947,1.21052631578947,0.5,0.342087131568211
0.973684210526316,1.21052631578947,0.5,0.34111270653314
1.02631578947368,1.21052631578947,0.5,0.340406043768167
1.07894736842105,1.21052631578947,0.5,0.33995642526075
1.13157894736842,1.21052631578947,0.5,0.339753786779039
1.18421052631579,1.21052631578947,0.5,0.339788664672734
1.23684210526316,1.21052631578947,0.5,0.340052148048882
1.28947368421053,1.21052631578947,0.5,0.340535835677801
1.34210526315789,1.21052631578947,0.5,0.341231797073442
1.39473684210526,1.21052631578947,0.5,0.342132537267692
1.44736842105263,1.21052631578947,0.5,0.343230964861901
1.5,1.21052631578947,0.5,0.344520362993086
0.5,1.31578947368421,0.5,0.342946345529855
0.552631578947368,1.31578947368421,0.5,0.340389226526353
0.605263157894737,1.31578947368421,0.5,0.338173141700859
0.657894736842105,1.31578947368421,0.5,0.336282373828364
0.710526315789474,1.31578947368421,0.5,0.334702309584734
