"","s_10","s_20","s_30","s_40","gamma","lambda_0","theta"
"31",-1.17961658755745,-1.71828640098736,-1.93327662033292,-1.99409003407931,23.6666666666667,3.58333333333333,1.25
"32",-1.17422262529688,-1.73082692253485,-1.95164231985237,-2.01381381137371,26,3.58333333333333,1.25
"33",-1.16481013328257,-1.73934070484929,-1.96598251635579,-2.02950089103767,28.3333333333333,3.58333333333333,1.25
"34",-1.15189821370585,-1.74434810929262,-1.97681740690604,-2.04167320190046,30.6666666666667,3.58333333333333,1.25
"35",-1.13590988861312,-1.74627315788506,-1.98457087931032,-2.05075600460309,33,3.58333333333333,1.25
"36",-1.11719465040925,-1.7454661492988,-1.9895931212443,-2.05710059194648,35.3333333333333,3.58333333333333,1.25
"37",-1.09604472372071,-1.74221996692007,-1.99217692329352,-2.06100065614714,37.6666666666667,3.58333333333333,1.25
"38",-1.07270704068929,-1.73678208745971,-1.99256968382613,-2.06270433992812,40,3.58333333333333,1.25
"39",-1.04739222332464,-1.7293635878019,-1.99098241301304,-2.06242327446122,42.3333333333333,3.58333333333333,1.25
"40",-1.02028143149146,-1.72014601131412,-1.98759659696601,-2.06033946883677,44.6666666666667,3.58333333333333,1.25
"41",-0.991531659996138,-1.70928667885019,-1.98256950705077,-2.05661063858812,47,3.58333333333333,1.25
"42",-0.961279889699246,-1.69692285057874,-1.97603836038527,-2.05137438096281,49.3333333333333,3.58333333333333,1.25
"43",-0.929646379009737,-1.68317502583218,-1.96812361862995,-2.04475148521594,51.6666666666667,3.58333333333333,1.25
"44",-0.896737301725086,-1.66814958753434,-1.95893163156466,-2.03684858524648,54,3.58333333333333,1.25
"45",-0.862646881647997,-1.65194094206513,-1.94855677626343,-2.02776030598109,56.3333333333333,3.58333333333333,1.25
"46",-0.827459135394091,-1.63463326628834,-1.93708320355823,-2.0175710156293,58.6666666666667,3.58333333333333,1.25
"47",-0.791249306966586,-1.61630194554955,-1.92458627557221,-2.00635626790996,61,3.58333333333333,1.25
"48",-0.754085057529403,-1.59701476624827,-1.91113375790625,-1.99418399807185,63.3333333333333,3.58333333333333,1.25
"49",-0.716027459042248,-1.57683291177865,-1.89678681525764,-1.98111552166788,65.6666666666667,3.58333333333333,1.25
"50",-0.67713182946508,-1.55581179964629,-1.88160084826628,-1.96720637401636,68,3.58333333333333,1.25
"51",-1.15729904304598,-1.61482385803173,-1.80369518521316,-1.85788795604777,12,4.16666666666667,1.25
"52",-1.18160474594118,-1.65714150277223,-1.8518284997954,-1.90748632894684,14.3333333333333,4.16666666666667,1.25
"53",-1.1968321374526,-1.69035781858756,-1.89086324735025,-1.94795428219837,16.6666666666667,4.16666666666667,1.25
"54",-1.2047183834145,-1.71621509543219,-1.92254121009147,-1.98104076618291,19,4.16666666666667,1.25
"55",-1.20653635297065,-1.73598982865361,-1.94813850222979,-2.00802695000672,21.3333333333333,4.16666666666667,1.25
"56",-1.20324825150601,-1.75064687832934,-1.96861969055772,-2.02988108982756,23.6666666666667,4.16666666666667,1.25
"57",-1.19560014668669,-1.76093431014396,-1.98473261034722,-2.04735379028976,26,4.16666666666667,1.25
"58",-1.18418284902816,-1.76744447346165,-1.99706942672751,-2.06103934446079,28.3333333333333,4.16666666666667,1.25
"59",-1.16947262766462,-1.77065484596608,-2.00610746782144,-2.07141674817923,30.6666666666667,4.16666666666667,1.25
"60",-1.15185931423416,-1.77095622445719,-2.01223740740573,-2.07887800459516,33,4.16666666666667,1.25
"61",-1.13166623033885,-1.7686727125995,-2.0157832467724,-2.08374819036912,35.3333333333333,4.16666666666667,1.25
"62",-1.10916464893064,-1.76407622515697,-2.01701681461962,-2.08630001537133,37.6666666666667,4.16666666666667,1.25
"63",-1.08458450323429,-1.75739722802302,-2.01616850381956,-2.08676460278038,40,4.16666666666667,1.25
"64",-1.05812245913886,-1.74883283362015,-2.01343536433021,-2.085339613985,42.3333333333333,4.16666666666667,1.25
"65",-1.02994809683994,-1.73855299984455,-2.00898730021606,-2.08219546962022,44.6666666666667,4.16666666666667,1.25
"66",-1.00020871168456,-1.7267053441163,-2.00297188219197,-2.07748018041154,47,4.16666666666667,1.25
"67",-0.969033090095527,-1.71341892951764,-1.99551813256845,-2.07132314625403,49.3333333333333,4.16666666666667,1.25
"68",-0.93653451350999,-1.69880727672707,-1.98673953623128,-2.06383817824135,51.6666666666667,4.16666666666667,1.25
"69",-0.902813173088927,-1.68297078505689,-1.97673646090819,-2.05512592766631,54,4.16666666666667,1.25
"70",-0.86795812923569,-1.66599869703029,-1.96559812111796,-2.04527585694372,56.3333333333333,4.16666666666667,1.25
"71",-0.832048915577075,-1.64797070644346,-1.95340418571681,-2.03436785277653,58.6666666666667,4.16666666666667,1.25
"72",-0.795156862424639,-1.62895828514707,-1.94022610425337,-2.0224735570783,61,4.16666666666667,1.25
"73",-0.75734619683784,-1.60902578583173,-1.92612820939889,-2.00965747314487,63.3333333333333,4.16666666666667,1.25
"74",-0.718674963244485,-1.58823136489681,-1.9111686395183,-1.99597789131245,65.6666666666667,4.16666666666667,1.25
"75",-0.679195798773799,-1.56662775965274,-1.89540011562151,-1.98148766847353,68,4.16666666666667,1.25
"76",-1.1925408666378,-1.65881618697401,-1.85066274609486,-1.90533062269135,12,4.75,1.25
"77",-1.21247671800705,-1.69676143408776,-1.89442476990516,-1.95055469398219,14.3333333333333,4.75,1.25
"78",-1.22407906880633,-1.72635136680861,-1.92983398820544,-1.98739569188249,16.6666666666667,4.75,1.25
"79",-1.2288949274677,-1.74913769503688,-1.95844166999003,-2.01741148328838,19,4.75,1.25
"80",-1.22806871271886,-1.76626820299202,-1.98139526416682,-2.0417542235818,21.3333333333333,4.75,1.25
"81",-1.22247231513437,-1.77861726854798,-1.99956888773558,-2.06130149747149,23.6666666666667,4.75,1.25
"82",-1.21278619917737,-1.78686724322504,-2.01364468532678,-2.07673807335764,26,4.75,1.25
"83",-1.19955221787055,-1.79156144342279,-2.02416580655412,-2.08860913066156,28.3333333333333,4.75,1.25
"84",-1.18320926367619,-1.7931399177359,-2.03157216363954,-2.09735618180751,30.6666666666667,4.75,1.25
"85",-1.16411807224961,-1.79196432995426,-2.03622530748028,-2.10334205984766,33,4.75,1.25
"86",-1.14257893097942,-1.78833572301432,-2.03842618653363,-2.1068687551571,35.3333333333333,4.75,1.25
"87",-1.11884460748276,-1.78250748715466,-2.03842811120007,-2.10819043538324,37.6666666666667,4.75,1.25
"88",-1.09312997429862,-1.77469501358189,-2.0364464046337,-2.10752313676363,40,4.75,1.25
"89",-1.0656192983327,-1.76508300546527,-2.03266571154326,-2.10505210299888,42.3333333333333,4.75,1.25
"90",-1.03647184663785,-1.75383110000479,-2.02724561855283,-2.10093742830165,44.6666666666667,4.75,1.25
"91",-1.0058262567113,-1.74107825121659,-2.02032503564221,-2.09531845620454,47,4.75,1.25
