"gamma","lambda_0","theta","boundary","theta.hat","lambda.hat","s"
4,23.5803952328211,2.16908548630643,1,2.18582153320312,25.7840037169089,10
4,23.6942129804193,2.17595007758749,1,2.1820068359375,25.737813969964,10
4,23.3050874856402,2.14883436942088,1,2.15530395507812,25.3908864531485,10
4,23.6576717840407,2.18035636303675,1,2.19345092773438,25.7793059799745,10
4,23.7847443009123,2.17962953200413,1,2.18963623046875,25.8639663504393,10
4,24.1029030755241,2.21113834675147,1,2.22015380859375,26.1670649446574,10
4,24.3215035932677,2.21273069876435,1,2.20489501953125,26.1159850790526,10
4,23.9846160630699,2.1917058378831,1,2.18963623046875,25.8255859090245,10
4,23.8850615894647,2.1809154133019,1,2.18582153320312,25.9077616027757,10
4,23.8158700719371,2.1714422792563,1,2.17437744140625,25.7300207594865,10
4,23.715535703852,2.17368201467984,1,2.18963623046875,25.8623470762949,10
4,23.9126036762102,2.19070014509862,1,2.197265625,25.9478150302432,10
4,23.6633126964045,2.16596966744674,1,2.166748046875,25.5614159068751,10
4,24.1338273597134,2.19973673089212,1,2.20489501953125,26.13419218556,10
4,24.2371440201227,2.20725591222048,1,2.20870971679688,26.191840684768,10
4,23.7048032908714,2.16758931247973,1,2.17056274414062,25.6652416570128,10
4,24.0266782974021,2.20010596458971,1,2.2125244140625,26.1431350579459,10
4,24.1148866875794,2.19480013261856,1,2.18963623046875,25.9591240406166,10
4,23.7852704444894,2.18195263114195,1,2.19345092773438,25.9229305262883,10
4,23.6085076159381,2.17902792640289,1,2.18963623046875,25.6943169468741,10
4,23.6875942250964,2.17731684426877,1,2.18963623046875,25.8210206808879,10
4,24.0472747832801,2.19183159213236,1,2.18963623046875,25.912203601998,10
4,23.6585143252647,2.1698286602354,1,2.17819213867188,25.6854703337883,10
4,23.847324552237,2.19129697054864,1,2.20108032226562,25.9341849489839,10
4,24.0593747250798,2.20467095950226,1,2.2125244140625,26.090937293266,10
4,24.1386539826665,2.20163307000154,1,2.197265625,25.9439743788202,10
4,23.6044490628551,2.17060766114734,1,2.18582153320312,25.7562610347774,10
4,24.0193602596587,2.20265918078885,1,2.20489501953125,25.9959347695097,10
4,24.2468394326403,2.20814675487012,1,2.197265625,25.9446202360789,10
4,23.9411632645033,2.186571040921,1,2.19345092773438,25.9194709946137,10
4,24.2487804239396,2.22026394635646,1,2.21633911132812,26.1143578851155,10
4,24.0043271864815,2.20376163773882,1,2.20870971679688,26.0277995677477,10
4,23.5430294483656,2.15854743256208,1,2.17056274414062,25.7078338354322,10
4,23.5969733289184,2.17168932314427,1,2.18963623046875,25.7878363202501,10
4,23.7904699248054,2.18549362522073,1,2.197265625,25.9395042665702,10
4,23.8656656038486,2.18696811295812,1,2.20108032226562,26.0187614005834,10
4,23.8071706310686,2.18010986291565,1,2.18963623046875,25.882739046662,10
4,23.2543425609379,2.14508446200431,1,2.16293334960938,25.4371810830378,10
4,24.0975292261067,2.20252537461067,1,2.20489501953125,26.0523154498518,10
4,24.2457188568361,2.21534604435868,1,2.2125244140625,26.1364692696709,10
4,23.5926697753766,2.16605227040094,1,2.17437744140625,25.6384238346959,10
4,23.8839349776019,2.17961203947469,1,2.1820068359375,25.8491611075041,10
4,23.8876073505047,2.18976636060344,1,2.197265625,25.9272081632349,10
4,24.4471825734278,2.22911114121058,1,2.22396850585938,26.2310729094142,10
4,23.7810927248203,2.17952245831077,1,2.1820068359375,25.7166588409741,10
4,23.7794932536074,2.18077193528572,1,2.18963623046875,25.814606012239,10
4,23.955103007026,2.1954967330261,1,2.20489501953125,25.9744297902221,10
4,24.2463238057308,2.21103854517857,1,2.2125244140625,26.1755474485824,10
4,23.9751430122693,2.18224113874281,1,2.18582153320312,25.9387073063459,10
4,23.4270148093685,2.17307428307856,1,2.18963623046875,25.6407301228535,10
4,23.9357374455236,2.20450425176241,1,2.22396850585938,26.163889566565,10
4,23.9310839861734,2.19607621882041,1,2.20108032226562,25.9387430958109,10
4,23.6647074643506,2.1821800409513,1,2.20489501953125,25.9824694882285,10
4,23.5678245727521,2.16536519261606,1,2.18963623046875,25.9104869166833,10
4,24.4097253839278,2.2127797331085,1,2.20870971679688,26.1957043671631,10
4,24.0400637779163,2.22242713812967,1,2.23541259765625,26.1891035358762,10
4,23.9842987319672,2.19252982235283,1,2.197265625,25.9911612455666,10
4,23.695924624458,2.16821403308057,1,2.1820068359375,25.827046270393,10
4,23.7491654605041,2.18410430470562,1,2.197265625,25.8906246016507,10
4,23.871037387053,2.18040415723426,1,2.19345092773438,25.9677006094369,10
4,23.7526610421439,2.18102619592065,1,2.18582153320312,25.7783239462088,10
4,23.8233637938619,2.17691562892907,1,2.18963623046875,25.9333613022897,10
4,24.2258370225848,2.21475462275268,1,2.2125244140625,26.1314635917123,10
