"gamma","lambda_0","theta","negLogLik"
66.0228571428571,0.665714285714286,1.25,-1.73939879681722
68.2857142857143,0.665714285714286,1.25,-1.71863578750151
70.5485714285714,0.665714285714286,1.25,-1.69686034491149
72.8114285714286,0.665714285714286,1.25,-1.67413480451653
75.0742857142857,0.665714285714286,1.25,-1.65051590375376
77.3371428571429,0.665714285714286,1.25,-1.62605543379774
79.6,0.665714285714286,1.25,-1.60080079906394
0.4,1.23142857142857,1.25,-0.152309997151153
2.66285714285714,1.23142857142857,1.25,-0.73360240759697
4.92571428571429,1.23142857142857,1.25,-1.04581302328994
7.18857142857143,1.23142857142857,1.25,-1.25279161931841
9.45142857142857,1.23142857142857,1.25,-1.40253246657711
11.7142857142857,1.23142857142857,1.25,-1.51605466947951
13.9771428571429,1.23142857142857,1.25,-1.60451607591482
16.24,1.23142857142857,1.25,-1.67457335186931
18.5028571428571,1.23142857142857,1.25,-1.73052565717777
20.7657142857143,1.23142857142857,1.25,-1.7753145184164
23.0285714285714,1.23142857142857,1.25,-1.8110430719917
25.2914285714286,1.23142857142857,1.25,-1.83926812270349
27.5542857142857,1.23142857142857,1.25,-1.86117491495358
29.8171428571429,1.23142857142857,1.25,-1.87768703398403
32.08,1.23142857142857,1.25,-1.88953838224823
34.3428571428571,1.23142857142857,1.25,-1.8973219470182
36.6057142857143,1.23142857142857,1.25,-1.90152380962858
38.8685714285714,1.23142857142857,1.25,-1.90254745815049
41.1314285714286,1.23142857142857,1.25,-1.90073154699272
43.3942857142857,1.23142857142857,1.25,-1.89636311758623
45.6571428571429,1.23142857142857,1.25,-1.88968760644735
47.92,1.23142857142857,1.25,-1.88091653527824
50.1828571428571,1.23142857142857,1.25,-1.87023349967641
52.4457142857143,1.23142857142857,1.25,-1.8577988896083
54.7085714285714,1.23142857142857,1.25,-1.8437536512524
56.9714285714286,1.23142857142857,1.25,-1.82822231499886
59.2342857142857,1.23142857142857,1.25,-1.81131545515051
61.4971428571428,1.23142857142857,1.25,-1.79313170483897
63.76,1.23142857142857,1.25,-1.77375941941646
66.0228571428571,1.23142857142857,1.25,-1.75327805951965
68.2857142857143,1.23142857142857,1.25,-1.7317593487131
70.5485714285714,1.23142857142857,1.25,-1.70926824845803
72.8114285714286,1.23142857142857,1.25,-1.68586378397711
75.0742857142857,1.23142857142857,1.25,-1.66159974759603
77.3371428571429,1.23142857142857,1.25,-1.636525300769
79.6,1.23142857142857,1.25,-1.61068549182965
0.4,1.79714285714286,1.25,-0.452745111421033
2.66285714285714,1.79714285714286,1.25,-0.903220523715838
4.92571428571429,1.79714285714286,1.25,-1.16697457947748
7.18857142857143,1.79714285714286,1.25,-1.34758994801167
9.45142857142857,1.79714285714286,1.25,-1.48042263741692
11.7142857142857,1.79714285714286,1.25,-1.58203860767061
13.9771428571429,1.79714285714286,1.25,-1.66159178250576
16.24,1.79714285714286,1.25,-1.72469342924186
18.5028571428571,1.79714285714286,1.25,-1.77503986088436
20.7657142857143,1.79714285714286,1.25,-1.8151986919225
23.0285714285714,1.79714285714286,1.25,-1.84702790375171
25.2914285714286,1.79714285714286,1.25,-1.87191637134321
27.5542857142857,1.79714285714286,1.25,-1.89093015595165
29.8171428571429,1.79714285714286,1.25,-1.90490573897832
32.08,1.79714285714286,1.25,-1.91451177404148
34.3428571428571,1.79714285714286,1.25,-1.92029133141032
36.6057142857143,1.79714285714286,1.25,-1.92269160433039
38.8685714285714,1.79714285714286,1.25,-1.92208530078869
41.1314285714286,1.79714285714286,1.25,-1.91878637029707
43.3942857142857,1.79714285714286,1.25,-1.91306177853263
45.6571428571429,1.79714285714286,1.25,-1.90514046664399
47.92,1.79714285714286,1.25,-1.89522026748542
50.1828571428571,1.79714285714286,1.25,-1.8834733143847
52.4457142857143,1.79714285714286,1.25,-1.87005032088612
54.7085714285714,1.79714285714286,1.25,-1.85508400338413
56.9714285714286,1.79714285714286,1.25,-1.83869184501566
59.2342857142857,1.79714285714286,1.25,-1.82097834754278
61.4971428571428,1.79714285714286,1.25,-1.80203688114681
63.76,1.79714285714286,1.25,-1.78195121544265
66.0228571428571,1.79714285714286,1.25,-1.76079679553406
68.2857142857143,1.79714285714286,1.25,-1.73864181248879
70.5485714285714,1.79714285714286,1.25,-1.71554810679187
72.8114285714286,1.79714285714286,1.25,-1.69157193514471
75.0742857142857,1.79714285714286,1.25,-1.66676462471872
77.3371428571429,1.79714285714286,1.25,-1.64117313414661
79.6,1.79714285714286,1.25,-1.61484053678295
0.4,2.36285714285714,1.25,-0.673271577955872
2.66285714285714,2.36285714285714,1.25,-1.03894091364047
4.92571428571429,2.36285714285714,1.25,-1.26632428665233
7.18857142857143,2.36285714285714,1.25,-1.42601563925953
9.45142857142857,2.36285714285714,1.25,-1.54501714445995
11.7142857142857,2.36285714285714,1.25,-1.63670645936221
13.9771428571429,2.36285714285714,1.25,-1.70873462346246
16.24,2.36285714285714,1.25,-1.76590432759052
18.5028571428571,2.36285714285714,1.25,-1.81143515933268
20.7657142857143,2.36285714285714,1.25,-1.84759405240154
23.0285714285714,2.36285714285714,1.25,-1.87603924051624
25.2914285714286,2.36285714285714,1.25,-1.89802131615541
27.5542857142857,2.36285714285714,1.25,-1.91450733916499
29.8171428571429,2.36285714285714,1.25,-1.92626090608295
32.08,2.36285714285714,1.25,-1.93389573285895
34.3428571428571,2.36285714285714,1.25,-1.93791263591867
36.6057142857143,2.36285714285714,1.25,-1.93872573726817
38.8685714285714,2.36285714285714,1.25,-1.93668146213812
41.1314285714286,2.36285714285714,1.25,-1.93207258886384
43.3942857142857,2.36285714285714,1.25,-1.9251488238873
45.6571428571429,2.36285714285714,1.25,-1.91612488661535
47.92,2.36285714285714,1.25,-1.90518677748522
50.1828571428571,2.36285714285714,1.25,-1.89249669900673
52.4457142857143,2.36285714285714,1.25,-1.87819696348481
54.7085714285714,2.36285714285714,1.25,-1.86241312836349
56.9714285714286,2.36285714285714,1.25,-1.84525653574845
59.2342857142857,2.36285714285714,1.25,-1.82682638724231
61.4971428571428,2.36285714285714,1.25,-1.80721145270124
63.76,2.36285714285714,1.25,-1.78649148790989
66.0228571428571,2.36285714285714,1.25,-1.76473841881489
68.2857142857143,2.36285714285714,1.25,-1.74201733704922
70.5485714285714,2.36285714285714,1.25,-1.71838734177602
72.8114285714286,2.36285714285714,1.25,-1.69390225551299
75.0742857142857,2.36285714285714,1.25,-1.66861123595189
77.3371428571429,2.36285714285714,1.25,-1.64255930142238
79.6,2.36285714285714,1.25,-1.6157877842473
0.4,2.92857142857143,1.25,-0.845690116362601
2.66285714285714,2.92857142857143,1.25,-1.15153324313001
4.92571428571429,2.92857142857143,1.25,-1.3503874621829
7.18857142857143,2.92857142857143,1.25,-1.49289474310269
9.45142857142857,2.92857142857143,1.25,-1.60023638060156
11.7142857142857,2.92857142857143,1.25,-1.6834140991338
13.9771428571429,2.92857142857143,1.25,-1.7489124790865
16.24,2.92857142857143,1.25,-1.80088902666557
18.5028571428571,2.92857142857143,1.25,-1.8421751817688
20.7657142857143,2.92857142857143,1.25,-1.87478925813375
23.0285714285714,2.92857142857143,1.25,-1.90022229809127
25.2914285714286,2.92857142857143,1.25,-1.91960799684207
27.5542857142857,2.92857142857143,1.25,-1.93382903282519
29.8171428571429,2.92857142857143,1.25,-1.943586449339
32.08,2.92857142857143,1.25,-1.94944653245644
34.3428571428571,2.92857142857143,1.25,-1.95187343215657
36.6057142857143,2.92857142857143,1.25,-1.95125244395633
38.8685714285714,2.92857142857143,1.25,-1.94790699355163
41.1314285714286,2.92857142857143,1.25,-1.94211126809072
43.3942857142857,2.92857142857143,1.25,-1.93409977080202
45.6571428571429,2.92857142857143,1.25,-1.92407465846406
47.92,2.92857142857143,1.25,-1.9122114530668
50.1828571428571,2.92857142857143,1.25,-1.89866354252833
52.4457142857143,2.92857142857143,1.25,-1.88356576666052
54.7085714285714,2.92857142857143,1.25,-1.86703730322833
56.9714285714286,2.92857142857143,1.25,-1.84918401220244
59.2342857142857,2.92857142857143,1.25,-1.83010035608643
61.4971428571428,2.92857142857143,1.25,-1.80987098527925
63.76,2.92857142857143,1.25,-1.78857205635689
66.0228571428571,2.92857142857143,1.25,-1.76627233560776
68.2857142857143,2.92857142857143,1.25,-1.74303412855284
70.5485714285714,2.92857142857143,1.25,-1.71891406743202
72.8114285714286,2.92857142857143,1.25,-1.69396378197477
75.0742857142857,2.92857142857143,1.25,-1.66823047365267
77.3371428571429,2.92857142857143,1.25,-1.64175740964209
79.6,2.92857142857143,1.25,-1.61458434962483
0.4,3.49428571428571,1.25,-0.985907523166924
2.66285714285714,3.49428571428571,1.25,-1.24713929821487
4.92571428571429,3.49428571428571,1.25,-1.42292249221349
7.18857142857143,3.49428571428571,1.25,-1.55098696272458
9.45142857142857,3.49428571428571,1.25,-1.64830185210004
11.7142857142857,3.49428571428571,1.25,-1.72404770046926
13.9771428571429,3.49428571428571,1.25,-1.7837821013735
16.24,3.49428571428571,1.25,-1.83113681953435
18.5028571428571,3.49428571428571,1.25,-1.86862109180997
20.7657142857143,3.49428571428571,1.25,-1.8980438792301
23.0285714285714,3.49428571428571,1.25,-1.920753825331
25.2914285714286,3.49428571428571,1.25,-1.93778413118353
27.5542857142857,3.49428571428571,1.25,-1.94994436937307
29.8171428571429,3.49428571428571,1.25,-1.95788103162691
32.08,3.49428571428571,1.25,-1.9621188075858
34.3428571428571,3.49428571428571,1.25,-1.96308953288082
36.6057142857143,3.49428571428571,1.25,-1.96115298909824
38.8685714285714,3.49428571428571,1.25,-1.95661216825507
41.1314285714286,3.49428571428571,1.25,-1.94972468472122
43.3942857142857,3.49428571428571,1.25,-1.94071144822061
45.6571428571429,3.49428571428571,1.25,-1.92976335252817
47.92,3.49428571428571,1.25,-1.91704650211437
50.1828571428571,3.49428571428571,1.25,-1.90270634507238
52.4457142857143,3.49428571428571,1.25,-1.88687097656934
54.7085714285714,3.49428571428571,1.25,-1.86965380533365
56.9714285714286,3.49428571428571,1.25,-1.85115572541386
59.2342857142857,3.49428571428571,1.25,-1.8314668996557
61.4971428571428,3.49428571428571,1.25,-1.81066823550336
63.76,3.49428571428571,1.25,-1.78883261482905
66.0228571428571,3.49428571428571,1.25,-1.76602592550108
68.2857142857143,3.49428571428571,1.25,-1.74230793192483
70.5485714285714,3.49428571428571,1.25,-1.71773301386757
72.8114285714286,3.49428571428571,1.25,-1.69235079682682
75.0742857142857,3.49428571428571,1.25,-1.66620669253983
77.3371428571429,3.49428571428571,1.25,-1.63934236460883
79.6,3.49428571428571,1.25,-1.61179613137961
0.4,4.06,1.25,-1.10304157716187
2.66285714285714,4.06,1.25,-1.32966408635889
4.92571428571429,4.06,1.25,-1.48635920139235
7.18857142857143,4.06,1.25,-1.60207444103386
9.45142857142857,4.06,1.25,-1.6906407559135
11.7142857142857,4.06,1.25,-1.75981218603881
13.9771428571429,4.06,1.25,-1.81439635610527
16.24,4.06,1.25,-1.85758985190846
18.5028571428571,4.06,1.25,-1.89163061028215
20.7657142857143,4.06,1.25,-1.91814895145228
23.0285714285714,4.06,1.25,-1.93837070482052
25.2914285714286,4.06,1.25,-1.95324163466762
27.5542857142857,4.06,1.25,-1.96350723754606
29.8171428571429,4.06,1.25,-1.96976589226585
32.08,4.06,1.25,-1.97250540395465
34.3428571428571,4.06,1.25,-1.97212882008198
36.6057142857143,4.06,1.25,-1.96897309888574
38.8685714285714,4.06,1.25,-1.96332288696168
41.1314285714286,4.06,1.25,-1.95542087126408
43.3942857142857,4.06,1.25,-1.94547568191285
45.6571428571429,4.06,1.25,-1.93366801157351
47.92,4.06,1.25,-1.92015541476215
50.1828571428571,4.06,1.25,-1.90507611553032
52.4457142857143,4.06,1.25,-1.88855206024916
54.7085714285714,4.06,1.25,-1.87069138868052
56.9714285714286,4.06,1.25,-1.85159045178778
59.2342857142857,4.06,1.25,-1.83133547275991
61.4971428571428,4.06,1.25,-1.81000392454324
63.76,4.06,1.25,-1.78766568015886
66.0228571428571,4.06,1.25,-1.76438397944369
68.2857142857143,4.06,1.25,-1.74021624636175
70.5485714285714,4.06,1.25,-1.71521478383191
72.8114285714286,4.06,1.25,-1.68942736750539
75.0742857142857,4.06,1.25,-1.66289775566695
77.3371428571429,4.06,1.25,-1.63566612911705
79.6,4.06,1.25,-1.60776947228801
0.4,4.62571428571428,1.25,-1.20281054579752
2.66285714285714,4.62571428571428,1.25,-1.40177020665931
4.92571428571429,4.62571428571428,1.25,-1.54238646256978
7.18857142857143,4.62571428571428,1.25,-1.64739905394127
9.45142857142857,4.62571428571428,1.25,-1.72824526508691
11.7142857142857,4.62571428571428,1.25,-1.79154208684655
13.9771428571429,4.62571428571428,1.25,-1.8414816357516
16.24,4.62571428571428,1.25,-1.88089577585905
18.5028571428571,4.62571428571428,1.25,-1.91179143561402
20.7657142857143,4.62571428571428,1.25,-1.93564492025098
23.0285714285714,4.62571428571428,1.25,-1.95357510569432
25.2914285714286,4.62571428571428,1.25,-1.96645097698522
27.5542857142857,4.62571428571428,1.25,-1.97496137109923
29.8171428571429,4.62571428571428,1.25,-1.97966186899508
32.08,4.62571428571428,1.25,-1.98100729705026
34.3428571428571,4.62571428571428,1.25,-1.9793748474278
36.6057142857143,4.62571428571428,1.25,-1.97508089918259
