"gamma","lambda_0","theta","ave_neg_lik","s"
1.375,0.65,0.1,0.851369922895297,1
1.45,0.65,0.1,0.856870202587901,1
1.525,0.65,0.1,0.863024056716938,1
1.6,0.65,0.1,0.869792673956981,1
1.675,0.65,0.1,0.877140700994767,1
1.75,0.65,0.1,0.885035836681538,1
1.825,0.65,0.1,0.893448484677921,1
1.9,0.65,0.1,0.902351454681207,1
0.1,0.8,0.1,0.84856355062571,1
0.175,0.8,0.1,0.836446179166014,1
0.25,0.8,0.1,0.826610568774107,1
0.325,0.8,0.1,0.818789911008992,1
0.4,0.8,0.1,0.812763366457778,1
0.475,0.8,0.1,0.808345863837075,1
0.55,0.8,0.1,0.805380615375275,1
0.625,0.8,0.1,0.80373351712589,1
0.7,0.8,0.1,0.803288887079529,1
0.775,0.8,0.1,0.803946171790309,1
0.85,0.8,0.1,0.805617366647645,1
0.925,0.8,0.1,0.808224970360381,1
1,0.8,0.1,0.811700345058306,1
1.075,0.8,0.1,0.815982388358039,1
1.15,0.8,0.1,0.821016448186985,1
1.225,0.8,0.1,0.826753428541487,1
1.3,0.8,0.1,0.833149046897885,1
1.375,0.8,0.1,0.840163213168485,1
1.45,0.8,0.1,0.847759506887209,1
1.525,0.8,0.1,0.855904734397647,1
1.6,0.8,0.1,0.864568551667645,1
1.675,0.8,0.1,0.873723141299024,1
1.75,0.8,0.1,0.883342934572576,1
1.825,0.8,0.1,0.893404371136016,1
1.9,0.8,0.1,0.903885690329087,1
0.1,0.95,0.1,0.79799394737471,1
0.175,0.95,0.1,0.791656397263894,1
0.25,0.95,0.1,0.787015617018494,1
0.325,0.95,0.1,0.783897782875665,1
0.4,0.95,0.1,0.782155525678759,1
0.475,0.95,0.1,0.781662707767867,1
0.55,0.95,0.1,0.782310445233716,1
0.625,0.95,0.1,0.784004032277364,1
0.7,0.95,0.1,0.786660530646298,1
0.775,0.95,0.1,0.790206857189361,1
0.85,0.95,0.1,0.794578249817942,1
0.925,0.95,0.1,0.799717024647802,1
1,0.95,0.1,0.805571559835259,1
1.075,0.95,0.1,0.8120954577966,1
1.15,0.95,0.1,0.819246849176066,1
1.225,0.95,0.1,0.826987810471027,1
1.3,0.95,0.1,0.83528387355177,1
1.375,0.95,0.1,0.844103610055505,1
1.45,0.95,0.1,0.853418277225392,1
1.525,0.95,0.1,0.863201514511745,1
1.6,0.95,0.1,0.87342908237221,1
1.675,0.95,0.1,0.884078636357593,1
1.75,0.95,0.1,0.895129530864572,1
1.825,0.95,0.1,0.906562647960012,1
1.9,0.95,0.1,0.918360247496241,1
0.1,1.1,0.1,0.770337763436894,1
0.175,1.1,0.1,0.768332114904694,1
0.25,1.1,0.1,0.767637654298984,1
0.325,1.1,0.1,0.768134858169615,1
0.4,1.1,0.1,0.76972049422972,1
0.475,1.1,0.1,0.772304724153983,1
0.55,1.1,0.1,0.775808831812738,1
0.625,1.1,0.1,0.780163420133741,1
0.7,1.1,0.1,0.785306964112932,1
0.775,1.1,0.1,0.79118463798833,1
0.85,1.1,0.1,0.797747355942406,1
0.925,1.1,0.1,0.804950980890963,1
1,1.1,0.1,0.812755666887621,1
1.075,1.1,0.1,0.821125308702596,1
1.15,1.1,0.1,0.830027078084808,1
1.225,1.1,0.1,0.839431030676116,1
1.3,1.1,0.1,0.849309770925055,1
1.375,1.1,0.1,0.859638164931777,1
1.45,1.1,0.1,0.870393093151208,1
1.525,1.1,0.1,0.881553236434898,1
1.6,1.1,0.1,0.893098890111308,1
1.675,1.1,0.1,0.905011801768523,1
1.75,1.1,0.1,0.917275029171082,1
1.825,1.1,0.1,0.929872815358138,1
1.9,1.1,0.1,0.942790478466601,1
0.1,1.25,0.1,0.759935716844853,1
0.175,1.25,0.1,0.761297995026377,1
0.25,1.25,0.1,0.763703901947034,1
0.325,1.25,0.1,0.76706774225571,1
0.4,1.25,0.1,0.771314397099584,1
0.475,1.25,0.1,0.776377612979958,1
0.55,1.25,0.1,0.782198628091256,1
0.625,1.25,0.1,0.7887250585396,1
0.7,1.25,0.1,0.795909987029918,1
0.775,1.25,0.1,0.803711210983054,1
0.85,1.25,0.1,0.812090617425663,1
0.925,1.25,0.1,0.821013659595958,1
1,1.25,0.1,0.830448915841642,1
1.075,1.25,0.1,0.840367715609971,1
1.15,1.25,0.1,0.850743820530026,1
1.225,1.25,0.1,0.861553151035899,1
1.3,1.25,0.1,0.872773550870399,1
1.375,1.25,0.1,0.884384583281409,1
1.45,1.25,0.1,0.896367353879132,1
1.525,1.25,0.1,0.908704356036789,1
1.6,1.25,0.1,0.921379335445597,1
1.675,1.25,0.1,0.934377171018855,1
1.75,1.25,0.1,0.947683769811026,1
1.825,1.25,0.1,0.961285974000087,1
1.9,1.25,0.1,0.975171478293452,1
0.1,1.4,0.1,0.762997814580883,1
0.175,1.4,0.1,0.767053801118765,1
0.25,1.4,0.1,0.7719601714721,1
0.325,1.4,0.1,0.77765339900626,1
0.4,1.4,0.1,0.784077120733141,1
0.475,1.4,0.1,0.791181074240913,1
0.55,1.4,0.1,0.798920227622942,1
0.625,1.4,0.1,0.807254061420091,1
0.7,1.4,0.1,0.816145971469344,1
0.775,1.4,0.1,0.825562768785523,1
0.85,1.4,0.1,0.835474257965939,1
0.925,1.4,0.1,0.845852879629356,1
1,1.4,0.1,0.856673405448608,1
1.075,1.4,0.1,0.867912676668679,1
1.15,1.4,0.1,0.879549378803692,1
1.225,1.4,0.1,0.891563846609605,1
1.3,1.4,0.1,0.903937894531231,1
1.375,1.4,0.1,0.916654668693988,1
1.45,1.4,0.1,0.929698517205133,1
1.525,1.4,0.1,0.943054876086183,1
1.6,1.4,0.1,0.956710168607615,1
1.675,1.4,0.1,0.970651716161672,1
1.75,1.4,0.1,0.984867659106892,1
1.825,1.4,0.1,0.999346886262268,1
1.9,1.4,0.1,1.01407897193048,1
0.1,1.55,0.1,0.776860756514703,1
0.175,1.55,0.1,0.783120374599383,1
0.25,1.55,0.1,0.790086256824473,1
0.325,1.55,0.1,0.797710008750608,1
0.4,1.55,0.1,0.805948259637273,1
0.475,1.55,0.1,0.814761973904713,1
0.55,1.55,0.1,0.824115878396647,1
0.625,1.55,0.1,0.83397798259858,1
0.7,1.55,0.1,0.844319174095108,1
0.775,1.55,0.1,0.855112875396149,1
0.85,1.55,0.1,0.866334751177755,1
0.925,1.55,0.1,0.877962457214918,1
1,1.55,0.1,0.889975424007846,1
1.075,1.55,0.1,0.902354669446367,1
1.15,1.55,0.1,0.915082635911902,1
1.225,1.55,0.1,0.928143048051085,1
1.3,1.55,0.1,0.941520788120044,1
1.375,1.55,0.1,0.955201786331767,1
1.45,1.55,0.1,0.96917292406939,1
1.525,1.55,0.1,0.983421948177753,1
1.6,1.55,0.1,0.997937394830854,1
1.675,1.55,0.1,1.01270852170693,1
1.75,1.55,0.1,1.0277252473961,1
1.825,1.55,0.1,1.04297809712544,1
1.9,1.55,0.1,1.05845815401971,1
0.1,1.7,0.1,0.799581153655432,1
0.175,1.7,0.1,0.807676976586042,1
0.25,1.7,0.1,0.816368718961745,1
0.325,1.7,0.1,0.825618667660234,1
0.4,1.7,0.1,0.835392736377726,1
0.475,1.7,0.1,0.845660003826408,1
0.55,1.7,0.1,0.85639232427491,1
0.625,1.7,0.1,0.867563997106163,1
0.7,1.7,0.1,0.879151484866477,1
0.775,1.7,0.1,0.891133171422911,1
0.85,1.7,0.1,0.903489153501881,1
0.925,1.7,0.1,0.916201060172163,1
1,1.7,0.1,0.929251895848849,1
1.075,1.7,0.1,0.942625903196721,1
1.15,1.7,0.1,0.956308442950569,1
1.225,1.7,0.1,0.970285888182628,1
1.3,1.7,0.1,0.984545530961006,1
1.375,1.7,0.1,0.999075499679075,1
1.45,1.7,0.1,1.01386468560996,1
1.525,1.7,0.1,1.02890267746558,1
1.6,1.7,0.1,1.04417970292525,1
1.675,1.7,0.1,1.05968657625294,1
1.75,1.7,0.1,1.07541465125038,1
1.825,1.7,0.1,1.09135577890048,1
1.9,1.7,0.1,1.10750226914524,1
0.1,1.85,0.1,0.829697286795901,1
0.175,1.85,0.1,0.8393467465356,1
0.25,1.85,0.1,0.849505766996075,1
0.325,1.85,0.1,0.860144389366953,1
0.4,1.85,0.1,0.871235338483908,1
0.475,1.85,0.1,0.88275370376318,1
0.55,1.85,0.1,0.894676666912629,1
0.625,1.85,0.1,0.906983268338614,1
0.7,1.85,0.1,0.919654205763328,1
0.775,1.85,0.1,0.932671659810339,1
0.85,1.85,0.1,0.946019142292663,1
0.925,1.85,0.1,0.959681363710564,1
1,1.85,0.1,0.973644117082201,1
1.075,1.85,0.1,0.987894175724477,1
1.15,1.85,0.1,1.0024192030003,1
1.225,1.85,0.1,1.01720767237247,1
1.3,1.85,0.1,1.03224879636892,1
1.375,1.85,0.1,1.04753246328115,1
1.45,1.85,0.1,1.06304918059693,1
1.525,1.85,0.1,1.0787900243167,1
1.6,1.85,0.1,1.09474659342696,1
1.675,1.85,0.1,1.11091096890709,1
1.75,1.85,0.1,1.12727567673312,1
1.825,1.85,0.1,1.14383365441509,1
1.9,1.85,0.1,1.16057822066642,1
0.1,2,0.1,0.866081959518535,1
0.175,2,0.1,0.877063074664306,1
0.25,2,0.1,0.888484895608509,1
0.325,2,0.1,0.900323228916927,1
0.4,2,0.1,0.912555909366523,1
0.475,2,0.1,0.925162573790389,1
0.55,2,0.1,0.938124466079721,1
0.625,2,0.1,0.951424268275417,1
0.7,2,0.1,0.965045953625382,1
0.775,2,0.1,0.978974658230376,1
