"gamma","lambda_0","theta","...4"
0.25,0.5,0.5,0.951709530084941
0.328947368421053,0.5,0.5,0.915585805856618
0.407894736842105,0.5,0.5,0.883576735907592
0.486842105263158,0.5,0.5,0.855086751399913
0.56578947368421,0.5,0.5,0.829644629341119
0.644736842105263,0.5,0.5,0.806870577114965
0.723684210526316,0.5,0.5,0.786453640665953
0.802631578947368,0.5,0.5,0.76813575400147
0.881578947368421,0.5,0.5,0.751700201442656
0.960526315789474,0.5,0.5,0.73696309454567
1.03947368421053,0.5,0.5,0.723766958994982
1.11842105263158,0.5,0.5,0.711975829983601
1.19736842105263,0.5,0.5,0.701471446545567
1.27631578947368,0.5,0.5,0.69215026004184
1.35526315789474,0.5,0.5,0.6839210549662
1.43421052631579,0.5,0.5,0.676703036582592
1.51315789473684,0.5,0.5,0.670424278895963
1.59210526315789,0.5,0.5,0.66502045390315
1.67105263157895,0.5,0.5,0.660433782688913
1.75,0.5,0.5,0.656612163156508
0.25,0.657894736842105,0.5,0.806052833771149
0.328947368421053,0.657894736842105,0.5,0.780362181396705
0.407894736842105,0.657894736842105,0.5,0.757487608906692
0.486842105263158,0.657894736842105,0.5,0.737082032748191
0.56578947368421,0.657894736842105,0.5,0.718860845142131
0.644736842105263,0.657894736842105,0.5,0.702587507350924
0.723684210526316,0.657894736842105,0.5,0.688063114477841
0.802631578947368,0.657894736842105,0.5,0.675118676951192
0.881578947368421,0.657894736842105,0.5,0.663609305714874
0.960526315789474,0.657894736842105,0.5,0.653409760006423
1.03947368421053,0.657894736842105,0.5,0.644410988889621
1.11842105263158,0.657894736842105,0.5,0.636517409780668
1.19736842105263,0.657894736842105,0.5,0.629644741822864
1.27631578947368,0.657894736842105,0.5,0.623718262687054
1.35526315789474,0.657894736842105,0.5,0.618671392507111
1.43421052631579,0.657894736842105,0.5,0.614444533410048
1.51315789473684,0.657894736842105,0.5,0.610984110808074
1.59210526315789,0.657894736842105,0.5,0.608241775469327
1.67105263157895,0.657894736842105,0.5,0.606173734829627
1.75,0.657894736842105,0.5,0.604740189034527
0.25,0.81578947368421,0.5,0.703316716327828
0.328947368421053,0.81578947368421,0.5,0.684803511603354
0.407894736842105,0.81578947368421,0.5,0.668340298793284
0.486842105263158,0.81578947368421,0.5,0.653707012467232
0.56578947368421,0.81578947368421,0.5,0.640718409835987
0.644736842105263,0.81578947368421,0.5,0.629216955618784
0.723684210526316,0.81578947368421,0.5,0.619067456952046
0.802631578947368,0.81578947368421,0.5,0.610152951954465
0.881578947368421,0.81578947368421,0.5,0.602371513340309
0.960526315789474,0.81578947368421,0.5,0.595633731182445
1.03947368421053,0.81578947368421,0.5,0.589860707357751
1.11842105263158,0.81578947368421,0.5,0.584982440757564
1.19736842105263,0.81578947368421,0.5,0.580936514609396
1.27631578947368,0.81578947368421,0.5,0.577667020000094
1.35526315789474,0.81578947368421,0.5,0.575123665973232
1.43421052631579,0.81578947368421,0.5,0.573261038395768
1.51315789473684,0.81578947368421,0.5,0.572037978484729
1.59210526315789,0.81578947368421,0.5,0.571417058357379
1.67105263157895,0.81578947368421,0.5,0.571364135839748
1.75,0.81578947368421,0.5,0.571847974472235
0.25,0.973684210526316,0.5,0.629767580060548
0.328947368421053,0.973684210526316,0.5,0.61650120241923
0.407894736842105,0.973684210526316,0.5,0.604794478178836
0.486842105263158,0.973684210526316,0.5,0.594499087647732
0.56578947368421,0.973684210526316,0.5,0.585487652291446
0.644736842105263,0.973684210526316,0.5,0.577649893040544
0.723684210526316,0.973684210526316,0.5,0.570889641680269
0.802631578947368,0.973684210526316,0.5,0.565122485778951
0.881578947368421,0.973684210526316,0.5,0.560273891211623
0.960526315789474,0.973684210526316,0.5,0.556277689621018
1.03947368421053,0.973684210526316,0.5,0.553074848174551
1.11842105263158,0.973684210526316,0.5,0.550612460146192
1.19736842105263,0.973684210526316,0.5,0.548842910015265
1.27631578947368,0.973684210526316,0.5,0.547723177788931
1.35526315789474,0.973684210526316,0.5,0.547214255360408
1.43421052631579,0.973684210526316,0.5,0.547280653750893
1.51315789473684,0.973684210526316,0.5,0.547889984627783
1.59210526315789,0.973684210526316,0.5,0.549012602948656
1.67105263157895,0.973684210526316,0.5,0.550621300235017
1.75,0.973684210526316,0.5,0.552691040036405
0.25,1.13157894736842,0.5,0.577395407003142
0.328947368421053,1.13157894736842,0.5,0.568134488693857
0.407894736842105,1.13157894736842,0.5,0.560100264251553
0.486842105263158,1.13157894736842,0.5,0.553188017856624
0.56578947368421,1.13157894736842,0.5,0.547306381611919
0.644736842105263,1.13157894736842,0.5,0.542375113629906
0.723684210526316,1.13157894736842,0.5,0.538323325849822
0.802631578947368,1.13157894736842,0.5,0.53508805565499
0.881578947368421,1.13157894736842,0.5,0.532613103551711
0.960526315789474,1.13157894736842,0.5,0.530848079061926
1.03947368421053,1.13157894736842,0.5,0.529747611234008
1.11842105263158,1.13157894736842,0.5,0.529270690532737
1.19736842105263,1.13157894736842,0.5,0.529380116493508
1.27631578947368,1.13157894736842,0.5,0.530042031205204
1.35526315789474,1.13157894736842,0.5,0.531225522963849
1.43421052631579,1.13157894736842,0.5,0.532902287694084
1.51315789473684,1.13157894736842,0.5,0.535046338235802
1.59210526315789,1.13157894736842,0.5,0.537633753530949
