"gamma","lambda_0","theta","...4"
0.25,0.5,0.5,0.853336270490653
0.328947368421053,0.5,0.5,0.816363287432118
0.407894736842105,0.5,0.5,0.783498309802922
0.486842105263158,0.5,0.5,0.754146861094741
0.56578947368421,0.5,0.5,0.727838566152665
0.644736842105263,0.5,0.5,0.704194303191775
0.723684210526316,0.5,0.5,0.682903657733548
0.802631578947368,0.5,0.5,0.663709004012707
0.881578947368421,0.5,0.5,0.646393990023335
0.960526315789474,0.5,0.5,0.630775031074625
1.03947368421053,0.5,0.5,0.616694909050425
1.11842105263158,0.5,0.5,0.604017877135198
1.19736842105263,0.5,0.5,0.592625861313989
1.27631578947368,0.5,0.5,0.582415474428221
1.35526315789474,0.5,0.5,0.57329564136197
1.43421052631579,0.5,0.5,0.565185690161643
1.51315789473684,0.5,0.5,0.558013802802753
1.59210526315789,0.5,0.5,0.551715746706006
1.67105263157895,0.5,0.5,0.546233827683932
1.75,0.5,0.5,0.541516019194959
0.25,0.657894736842105,0.5,0.703792052984981
0.328947368421053,0.657894736842105,0.5,0.677240919626488
0.407894736842105,0.657894736842105,0.5,0.653501204336656
0.486842105263158,0.657894736842105,0.5,0.632226474123081
0.56578947368421,0.657894736842105,0.5,0.613132646610921
0.644736842105263,0.657894736842105,0.5,0.595983613311217
0.723684210526316,0.657894736842105,0.5,0.580580825953994
0.802631578947368,0.657894736842105,0.5,0.566755593753437
0.881578947368421,0.657894736842105,0.5,0.554363280376634
0.960526315789474,0.657894736842105,0.5,0.543278860655713
1.03947368421053,0.657894736842105,0.5,0.533393468995708
1.11842105263158,0.657894736842105,0.5,0.524611683260722
1.19736842105263,0.657894736842105,0.5,0.516849362376517
1.27631578947368,0.657894736842105,0.5,0.510031906501559
1.35526315789474,0.657894736842105,0.5,0.504092843675883
1.43421052631579,0.657894736842105,0.5,0.498972671555012
1.51315789473684,0.657894736842105,0.5,0.494617900506644
1.59210526315789,0.657894736842105,0.5,0.490980257170367
1.67105263157895,0.657894736842105,0.5,0.488016017006577
1.75,0.657894736842105,0.5,0.485685441373124
0.25,0.81578947368421,0.5,0.597188096424672
0.328947368421053,0.81578947368421,0.5,0.57780629314236
0.407894736842105,0.81578947368421,0.5,0.560471034847138
0.486842105263158,0.81578947368421,0.5,0.544962674299833
0.56578947368421,0.81578947368421,0.5,0.531096316335964
0.644736842105263,0.81578947368421,0.5,0.518714717687023
0.723684210526316,0.81578947368421,0.5,0.507682933085795
0.802631578947368,0.81578947368421,0.5,0.497884212349747
0.881578947368421,0.81578947368421,0.5,0.489216810568073
0.960526315789474,0.81578947368421,0.5,0.481591476003166
1.03947368421053,0.81578947368421,0.5,0.474929448599312
1.11842105263158,0.81578947368421,0.5,0.469160848440126
1.19736842105263,0.81578947368421,0.5,0.464223365689942
1.27631578947368,0.81578947368421,0.5,0.460061186249165
1.35526315789474,0.81578947368421,0.5,0.456624103601154
1.43421052631579,0.81578947368421,0.5,0.453866779125082
1.51315789473684,0.81578947368421,0.5,0.451748121826417
1.59210526315789,0.81578947368421,0.5,0.450230764895531
1.67105263157895,0.81578947368421,0.5,0.449280621366072
1.75,0.81578947368421,0.5,0.448866504840785
0.25,0.973684210526316,0.5,0.519782169863325
0.328947368421053,0.973684210526316,0.5,0.505641063236167
0.407894736842105,0.973684210526316,0.5,0.493056958843409
0.486842105263158,0.973684210526316,0.5,0.481881821525655
0.56578947368421,0.973684210526316,0.5,0.471988514514224
0.644736842105263,0.973684210526316,0.5,0.463266965861967
0.723684210526316,0.973684210526316,0.5,0.455621186116165
0.802631578947368,0.973684210526316,0.5,0.448966918169211
0.881578947368421,0.973684210526316,0.5,0.443229763682705
0.960526315789474,0.973684210526316,0.5,0.438343673671552
1.03947368421053,0.973684210526316,0.5,0.434249720785449
1.11842105263158,0.973684210526316,0.5,0.430895091949156
1.19736842105263,0.973684210526316,0.5,0.428232255153169
1.27631578947368,0.973684210526316,0.5,0.426218265177047
1.35526315789474,0.973684210526316,0.5,0.424814181115493
1.43421052631579,0.973684210526316,0.5,0.423984574600069
