"gamma","lambda_0","theta","nLL_s1","nLL_s2","nLL_s3","nLL_s5"
0.25,0.5,0.5,1.1897697522398,0.951709530084941,0.853336270490653,0.795906992491162
0.328947368421053,0.5,0.5,1.15759490587341,0.915585805856618,0.816363287432118,0.7588060692095
0.407894736842105,0.5,0.5,1.12951572519395,0.883576735907592,0.783498309802922,0.725820722996502
0.486842105263158,0.5,0.5,1.1049397222189,0.855086751399913,0.754146861094741,0.696355220956246
0.56578947368421,0.5,0.5,1.08339806941515,0.829644629341119,0.727838566152665,0.66993821496566
0.644736842105263,0.5,0.5,1.06451287318421,0.806870577114965,0.704194303191775,0.646189814845257
0.723684210526316,0.5,0.5,1.04797471003204,0.786453640665953,0.682903657733548,0.624798989044406
0.802631578947368,0.5,0.5,1.0335267652965,0.76813575400147,0.663709004012707,0.605507609030832
0.881578947368421,0.5,0.5,1.02095335916031,0.751700201442656,0.646393990023335,0.588098907958555
0.960526315789474,0.5,0.5,1.01007147012781,0.73696309454567,0.630775031074625,0.572388955017521
1.03947368421053,0.5,0.5,1.00072435655667,0.723766958994982,0.616694909050425,0.558220240442238
1.11842105263158,0.5,0.5,0.992776678242886,0.711975829983601,0.604017877135198,0.545456769485169
1.19736842105263,0.5,0.5,0.986110710874076,0.701471446545567,0.592625861313989,0.533980255681835
1.27631578947368,0.5,0.5,0.980623370171634,0.69215026004184,0.582415474428221,0.523687128514957
1.35526315789474,0.5,0.5,0.976223845026097,0.6839210549662,0.57329564136197,0.514486153579437
1.43421052631579,0.5,0.5,0.972831694950269,0.676703036582592,0.565185690161643,0.506296519713857
1.51315789473684,0.5,0.5,0.970375305942499,0.670424278895963,0.558013802802753,0.499046286567819
1.59210526315789,0.5,0.5,0.96879062614134,0.66502045390315,0.551715746706006,0.492671113527797
1.67105263157895,0.5,0.5,0.968020122160977,0.660433782688913,0.546233827683932,0.487113210549028
1.75,0.5,0.5,0.968011911141568,0.656612163156508,0.541516019194959,0.482320465669648
0.25,0.657894736842105,0.5,1.05913294489888,0.806052833771149,0.703792052984981,0.646189524243678
0.328947368421053,0.657894736842105,0.5,1.03735837661811,0.780362181396705,0.677240919626488,0.61952270780546
0.407894736842105,0.657894736842105,0.5,1.0183866067811,0.757487608906692,0.653501204336656,0.595672630117629
0.486842105263158,0.657894736842105,0.5,1.0018723838446,0.737082032748191,0.632226474123081,0.574292107646045
0.56578947368421,0.657894736842105,0.5,0.987532581109438,0.718860845142131,0.613132646610921,0.555096453199885
0.644736842105263,0.657894736842105,0.5,0.97513187418293,0.702587507350924,0.595983613311217,0.537849063939568
0.723684210526316,0.657894736842105,0.5,0.964472366113937,0.688063114477841,0.580580825953994,0.522350982495286
0.802631578947368,0.657894736842105,0.5,0.955385913047418,0.675118676951192,0.566755593753437,0.508433175813161
0.881578947368421,0.657894736842105,0.5,0.947728342361585,0.663609305714874,0.554363280376634,0.495950718415265
0.960526315789474,0.657894736842105,0.5,0.941375025430532,0.653409760006423,0.543278860655713,0.484778338738619
1.03947368421053,0.657894736842105,0.5,0.936217438384577,0.644410988889621,0.533393468995708,0.474806959577357
1.11842105263158,0.657894736842105,0.5,0.932160455630483,0.636517409780668,0.524611683260722,0.465940975770397
1.19736842105263,0.657894736842105,0.5,0.929120195058748,0.629644741822864,0.516849362376517,0.458096086922787
1.27631578947368,0.657894736842105,0.5,0.927022284283128,0.623718262687054,0.510031906501559,0.451197553690957
1.35526315789474,0.657894736842105,0.5,0.925800452180264,0.618671392507111,0.504092843675883,0.445178781307539
1.43421052631579,0.657894736842105,0.5,0.92539537460104,0.614444533410048,0.498972671555012,0.439980158780844
1.51315789473684,0.657894736842105,0.5,0.92575372072893,0.610984110808074,0.494617900506644,0.435548099918328
1.59210526315789,0.657894736842105,0.5,0.926827359334926,0.608241775469327,0.490980257170367,0.431834245177293
1.67105263157895,0.657894736842105,0.5,0.928572693569402,0.606173734829627,0.488016017006577,0.42879479279501
1.75,0.657894736842105,0.5,0.930950099917589,0.604740189034527,0.485685441373124,0.426389934679753
0.25,0.81578947368421,0.5,0.971473814382902,0.703316716327828,0.597188096424672,0.539390535497272
0.328947368421053,0.81578947368421,0.5,0.956853047682571,0.684803511603354,0.57780629314236,0.519901969723852
0.407894736842105,0.81578947368421,0.5,0.944272467081233,0.668340298793284,0.560471034847138,0.502463889204574
0.486842105263158,0.81578947368421,0.5,0.933513184006155,0.653707012467232,0.544962674299833,0.486856163144074
0.56578947368421,0.81578947368421,0.5,0.924390934516392,0.640718409835987,0.531096316335964,0.472893495261076
0.644736842105263,0.81578947368421,0.5,0.916749006236608,0.629216955618784,0.518714717687023,0.460418305954498
0.723684210526316,0.81578947368421,0.5,0.910452904701771,0.619067456952046,0.507682933085795,0.449295365236894
0.802631578947368,0.81578947368421,0.5,0.905386265803693,0.610152951954465,0.497884212349747,0.439407679828288
0.881578947368421,0.81578947368421,0.5,0.901447677814496,0.602371513340309,0.489216810568073,0.430653295655627
0.960526315789474,0.81578947368421,0.5,0.898548178529612,0.595633731182445,0.481591476003166,0.422942779760068
1.03947368421053,0.81578947368421,0.5,0.896609261079012,0.589860707357751,0.474929448599312,0.416197214076237
1.11842105263158,0.81578947368421,0.5,0.895561268218104,0.584982440757564,0.469160848440126,0.410346580117852
1.19736842105263,0.81578947368421,0.5,0.895342086975264,0.580936514609396,0.464223365689942,0.405328445881426
1.27631578947368,0.81578947368421,0.5,0.895896078138401,0.577667020000094,0.460061186249165,0.401086889033192
1.35526315789474,0.81578947368421,0.5,0.897173191246671,0.575123665973232,0.456624103601154,0.39757160673352
1.43421052631579,0.81578947368421,0.5,0.899128227504601,0.573261038395768,0.453866779125082,0.394737174280119
1.51315789473684,0.81578947368421,0.5,0.901720221679403,0.572037978484729,0.451748121826417,0.392542423450374
1.59210526315789,0.81578947368421,0.5,0.904911920476408,0.571417058357379,0.450230764895531,0.390949917898331
1.67105263157895,0.81578947368421,0.5,0.908669339730052,0.571364135839748,0.449280621366072,0.389925507835096
1.75,0.81578947368421,0.5,0.912961386429914,0.571847974472235,0.448866504840785,0.389437949926599
0.25,0.973684210526316,0.5,0.913033668853239,0.629767580060548,0.519782169863325,0.461777317073062
0.328947368421053,0.973684210526316,0.5,0.903641909988116,0.61650120241923,0.505641063236167,0.447536210583592
0.407894736842105,0.973684210526316,0.5,0.895802269769404,0.604794478178836,0.493056958843409,0.434855140494255
0.486842105263158,0.973684210526316,0.5,0.889367229002225,0.594499087647732,0.481881821525655,0.423585742061554
0.56578947368421,0.973684210526316,0.5,0.884210089544526,0.585487652291446,0.471988514514224,0.413600599025078
0.644736842105263,0.973684210526316,0.5,0.880221155513879,0.577649893040544,0.463266965861967,0.40478940041441
0.723684210526316,0.973684210526316,0.5,0.877304762353424,0.570889641680269,0.455621186116165,0.397055950802784
0.802631578947368,0.973684210526316,0.5,0.87537693558478,0.565122485778951,0.448966918169211,0.390315814363185
0.881578947368421,0.973684210526316,0.5,0.874363524271939,0.560273891211623,0.443229763682705,0.384494436713226
0.960526315789474,0.973684210526316,0.5,0.874198697233131,0.556277689621018,0.438343673671552,0.379525631841724
1.03947368421053,0.973684210526316,0.5,0.874823719865871,0.553074848174551,0.434249720785449,0.37535035144028
1.11842105263158,0.973684210526316,0.5,0.876185950488763,0.550612460146192,0.430895091949156,0.371915675143169
1.19736842105263,0.973684210526316,0.5,0.878238010172745,0.548842910015265,0.428232255153169,0.369173975348687
1.27631578947368,0.973684210526316,0.5,0.880937090981226,0.547723177788931,0.426218265177047,0.367082221314645
1.35526315789474,0.973684210526316,0.5,0.884244375594106,0.547214255360408,0.424814181115493,0.365601395329431
1.43421052631579,0.973684210526316,0.5,0.888124547289779,0.547280653750893,0.423984574600069,0.364695999798523
1.51315789473684,0.973684210526316,0.5,0.892545373776185,0.547889984627783,0.42369711214432,0.364333638632772
1.59210526315789,0.973684210526316,0.5,0.897477351797959,0.549012602948656,0.423922198489452,0.364484659783083
1.67105263157895,0.973684210526316,0.5,0.902893402085291,0.550621300235017,0.424632670476626,0.36512184842168
1.75,0.973684210526316,0.5,0.908768606254417,0.552691040036405,0.425803533024097,0.366220162327538
0.25,1.13157894736842,0.5,0.875790253475028,0.577395407003142,0.463560038051086,0.405340299597565
0.328947368421053,1.13157894736842,0.5,0.870390057390927,0.568134488693857,0.453419602500146,0.395105160122173
0.407894736842105,1.13157894736842,0.5,0.866210585172581,0.560100264251553,0.444503758804611,0.386097020371388
0.486842105263158,1.13157894736842,0.5,0.863147690025451,0.553188017856624,0.436707993420203,0.378211132170121
0.56578947368421,1.13157894736842,0.5,0.861110496032956,0.547306381611919,0.429941113313912,0.371356100028273
0.644736842105263,1.13157894736842,0.5,0.86001918956798,0.542375113629906,0.424123028768967,0.365451658340438
0.723684210526316,1.13157894736842,0.5,0.859803257665095,0.538323325849822,0.419182984947112,0.360426898512642
0.802631578947368,1.13157894736842,0.5,0.860400068088813,0.53508805565499,0.41505813650974,0.356218840036182
0.881578947368421,1.13157894736842,0.5,0.8617537138447,0.532613103551711,0.411692387728798,0.35277126773404
0.960526315789474,1.13157894736842,0.5,0.863814064644821,0.530848079061926,0.409035440365528,0.350033777305989
1.03947368421053,1.13157894736842,0.5,0.866535982001237,0.529747611234008,0.407042005816089,0.347960985557522
