"gamma","lambda_0","theta","theta.hat","lambda.hat"
0.357090152832605,2.17403656791717,0.1,1.03759765625,2.50147701561721
0.788541002236707,1.962917129524,0.1,1.03759765625,2.50067019672753
0.1,2.30027825814621,0.1,1.007080078125,2.49317184474229
0.1,2.31387950779289,0.1,1.03759765625,2.50326399345726
0.598013719521704,2.05925988031212,0.1,0.91552734375,2.50647094780786
0.304374325974012,2.22254882080889,0.1,0.91552734375,2.51056146104048
0.403045088117652,2.12559999783848,0.1,0.946044921875,2.47266360219832
0.794180251700859,1.95009067035981,0.1,0.9307861328125,2.48391850880218
0.1,2.30627442453672,0.1,0.9765625,2.49305474578844
0.328405862033754,2.1853454372029,0.1,1.007080078125,2.50006808005627
0.1,2.3100656292432,0.1,0.9918212890625,2.49798064526448
0.296124951680469,2.23705961157768,0.1,0.946044921875,2.52137924059545
0.663117629377212,2.02442978678478,0.1,1.007080078125,2.50713644029314
0.590392334607387,2.05101636509075,0.1,0.9765625,2.49636312475195
0.328645827783568,2.18550965196158,0.1,1.03759765625,2.50039973541326
0.784802742373191,1.95697089477992,0.1,0.9307861328125,2.49756476244777
0.1,2.32104034455589,0.1,1.007080078125,2.50911575204807
0.1,2.3177458653217,0.1,1.068115234375,2.50887267943836
0.1,2.32802662008896,0.1,0.9307861328125,2.51406042478862
0.47977383316886,2.11682563305776,0.1,0.9765625,2.50571429642743
0.1,2.32364570325102,0.1,1.03759765625,2.52159242819675
0.1,2.30457785573569,0.1,1.007080078125,2.48967931259824
0.827477768851908,1.93528699136878,0.1,1.007080078125,2.49944236185003
0.1,2.31744981859028,0.1,1.007080078125,2.50681628249582
0.528368211338851,2.10504865095796,0.1,1.007080078125,2.52101091365394
0.1,2.31426192853561,0.1,1.0528564453125,2.50567826295197
0.1,2.29520990397638,0.1,0.91552734375,2.48422673382895
0.1,2.31092664215763,0.1,0.946044921875,2.50218555734324
0.716263492551142,2.00252502110487,0.1,1.03759765625,2.51487168154627
0.1,2.30520651881551,0.1,1.068115234375,2.49558616932945
0.606078386645757,2.04664044647442,0.1,0.9307861328125,2.49713644201607
0.613892804378789,2.06527976817384,0.1,1.007080078125,2.51104994966731
0.1,2.3133839154106,0.1,1.03759765625,2.50194233310797
0.1,2.32357324712339,0.1,0.9765625,2.51060015393038
0.1,2.32069734989424,0.1,1.068115234375,2.51757359474687
0.840348201290644,1.93491633368537,0.1,1.068115234375,2.50209116867416
0.650664777763775,2.02789422078494,0.1,0.9765625,2.50534398396761
0.1,2.32447390671768,0.1,0.91552734375,2.51598596600042
0.1,2.32910030127189,0.1,1.0833740234375,2.5245570163695
0.587265214430036,2.05236425990498,0.1,1.068115234375,2.49970540501457
0.414067033115284,2.15873523299355,0.1,1.03759765625,2.50438481727144
0.1,2.31847617910018,0.1,1.03759765625,2.50663662161502
0.78388587442115,1.96316054938365,0.1,1.03759765625,2.50753320790869
0.500090456777887,2.1049527847458,0.1,1.03759765625,2.49572574936558
