"gamma","lambda_0","theta","theta.hat","lambda.hat"
0.1,2.03875598236032,0.1,1.01852416992188,2.50222088364583
0.688859566301123,1.75016620192101,0.1,0.9918212890625,2.50740632556459
0.469345525382313,1.8478319588286,0.1,0.98419189453125,2.50126852621368
0.356303167885483,1.91272821303399,0.1,0.997543334960938,2.50358075641216
0.679277734054667,1.73404593468986,0.1,0.980377197265625,2.49448042530815
0.1,2.04073869428154,0.1,0.972747802734375,2.48897566437075
0.1,2.04762970261649,0.1,0.993728637695312,2.50261892550001
0.203959043662403,1.98994287542675,0.1,0.972747802734375,2.50927420751301
0.123880203571036,2.02794348545184,0.1,0.9918212890625,2.49950842867544
0.1,2.03817105010391,0.1,1.02996826171875,2.51039585015498
0.1,2.03290191123044,0.1,0.982284545898438,2.48321557431081
0.724951916956188,1.72041663940329,0.1,1.03378295898438,2.49897333604596
0.395211907202702,1.88150160487831,0.1,1.00326538085938,2.49738804193086
0.1,2.03207298612014,0.1,1.007080078125,2.48389082326764
0.217571372095513,1.97371627716481,0.1,0.98419189453125,2.49291045044312
0.730582060990708,1.71732606191018,0.1,0.995635986328125,2.49099852740704
0.342634780979786,1.91468448874265,0.1,0.99945068359375,2.50378444536658
0.248892880754473,1.96252147700154,0.1,1.007080078125,2.50657373356637
0.1,2.0382252343946,0.1,1.00326538085938,2.49624956016963
0.332363892534415,1.92609586377923,0.1,1.01089477539062,2.51728403497111
0.683433179345145,1.73290518006853,0.1,1.00326538085938,2.48500426527379
0.634618652266291,1.76157664914717,0.1,1.00326538085938,2.49063728578902
0.48469065917751,1.84576445012549,0.1,1.01280212402344,2.51553565091857
0.1,2.0286334256657,0.1,0.997543334960938,2.48705114690658
0.1,2.02560311479572,0.1,0.9765625,2.47460720165988
0.127755057199597,2.02444059978003,0.1,1.01852416992188,2.50351958753386
0.1,2.04333704828542,0.1,0.965118408203125,2.4997679870526
0.1,2.02588816069321,0.1,0.989913940429688,2.48629061977362
0.571582837322023,1.79236648239959,0.1,0.9918212890625,2.49222188013972
0.1,2.04406899727562,0.1,0.997543334960938,2.50754099719687
0.1,2.02681752774435,0.1,0.972747802734375,2.47741280542566
0.1,2.04853879710547,0.1,0.982284545898438,2.50666641990782
0.1,2.0445399821123,0.1,1.00326538085938,2.49770724992427
0.1,2.04959931723751,0.1,1.00898742675781,2.51613553369458
0.451015794840404,1.8540974567609,0.1,1.01089477539062,2.4933257745852
0.651859694103799,1.77042660613151,0.1,1.007080078125,2.51575849819996
0.1,2.03766477605881,0.1,0.963211059570312,2.48167597111267
0.1,2.04830439904408,0.1,0.974655151367188,2.50334492790957
0.386681747018023,1.87674093296303,0.1,0.988006591796875,2.48544952552963
0.780491188367306,1.70918713597045,0.1,1.00326538085938,2.51284916942972
0.348411761778241,1.92725753802705,0.1,0.972747802734375,2.50483120630258
0.624510246263609,1.7817464494775,0.1,1.00326538085938,2.51368897284214
0.1,2.04911888012836,0.1,1.02996826171875,2.51315745057986
0.1,2.03464090318032,0.1,1.01661682128906,2.5004534084322
0.457902347922033,1.84599029248823,0.1,1.00517272949219,2.48870885342824
0.222927827864437,1.97960825486355,0.1,1.00517272949219,2.51013080356865
0.1,2.03009787501587,0.1,0.9918212890625,2.48517195499547
0.667890400829532,1.75357917706942,0.1,1.02043151855469,2.51464321574777
0.275436919807742,1.95512711727428,0.1,1.007080078125,2.51647747610455
0.598894714901873,1.78672476734869,0.1,1.01852416992188,2.51744349954431
0.1,2.04148548260564,0.1,1.01470947265625,2.50266434735823
0.1,2.02851122357082,0.1,0.99945068359375,2.47818584012
0.1,2.0408521079244,0.1,0.995635986328125,2.50526997448508
0.177378120687443,2.00050442898537,0.1,1.02424621582031,2.51779555827286
0.629046612869217,1.78532745171348,0.1,0.970840454101562,2.50637969353681
0.585692733834315,1.78306539196803,0.1,1.02996826171875,2.5017361961296
0.282902113952063,1.94276681661995,0.1,1.00898742675781,2.5035893420119
0.190850093402526,1.98258588899418,0.1,1.007080078125,2.50089518695846
0.258697623738923,1.94683254328552,0.1,0.9918212890625,2.49049486278948
0.325528636538904,1.91302822822652,0.1,0.98419189453125,2.48438811160629
0.410970746907286,1.87209117784932,0.1,0.993728637695312,2.49361100670543
0.702165262685576,1.73278099045007,0.1,1.00326538085938,2.50169083492032
0.100051798953156,2.03796740033407,0.1,1.01470947265625,2.49864437368881
0.376159920846857,1.88896051394369,0.1,0.989913940429688,2.47112394366449
0.266666164356022,1.97393632005768,0.1,1.0223388671875,2.52721898693054
0.1,2.04522322603406,0.1,0.978469848632812,2.50047368702956
0.1,2.04277916646569,0.1,1.01470947265625,2.50168638443092
0.349547605053891,1.9142354886915,0.1,0.988006591796875,2.4883469082012
0.1,2.05142063222784,0.1,0.9918212890625,2.50511472797427
0.1,2.02864971775711,0.1,0.986099243164062,2.48253026493303
0.1,2.04555967375971,0.1,1.007080078125,2.50338748152873
0.1,2.04356413957999,0.1,1.01470947265625,2.50930718922978
0.1,2.05812961610163,0.1,1.00326538085938,2.52316453712204
0.1,2.04396949800169,0.1,1.0223388671875,2.50501443518104
0.1,2.05187530017375,0.1,1.02615356445312,2.52326773745429
0.427127278641524,1.88999372824938,0.1,1.007080078125,2.51983455152614
0.1,2.05440722668829,0.1,1.01470947265625,2.52061932055374
0.1,2.03592894156508,0.1,0.99945068359375,2.48642088424455
0.27237082854755,1.95601973262034,0.1,0.988006591796875,2.50695097864103
0.1,2.03506036440131,0.1,0.96893310546875,2.49483273334903
0.404338572881455,1.87466718453287,0.1,0.965118408203125,2.48619997841792
0.1,2.04748610230405,0.1,0.988006591796875,2.51103512436199
0.1,2.04423675614046,0.1,1.02615356445312,2.50560514387716
0.558361285622343,1.80732883642696,0.1,0.995635986328125,2.50047102271057
0.1,2.0543030363118,0.1,0.978469848632812,2.50249653380329
0.1,2.03754278625443,0.1,1.007080078125,2.49127565125694
0.16978104216182,1.99491141231382,0.1,0.96893310546875,2.48901935706877
0.722511139077523,1.72669438292606,0.1,0.995635986328125,2.4949539429877
0.343426899823636,1.91781986740359,0.1,1.0223388671875,2.5141405925638
0.529502741725024,1.81580857714084,0.1,0.982284545898438,2.50137988493713
0.171483776344331,2.00916323469609,0.1,0.980377197265625,2.50089478778641
0.163178927185609,2.00604949770909,0.1,0.989913940429688,2.49918231258697
0.202846126525127,1.98306205828021,0.1,1.00326538085938,2.49737768511781
0.698982040500888,1.72633074139617,0.1,1.00326538085938,2.4913928840139
0.727122480456441,1.72351666550781,0.1,1.00326538085938,2.50665888188346
0.1,2.02903634442546,0.1,0.963211059570312,2.47519331642369
0.1,2.0377801300843,0.1,0.993728637695312,2.49459387951829
0.575408219984348,1.78631360974563,0.1,0.989913940429688,2.49571438445468
0.661982065104409,1.74808342151217,0.1,0.98419189453125,2.47575644814344
0.175331435923609,1.99763100745072,0.1,0.99945068359375,2.48937273407207
0.716552463896393,1.72214042370631,0.1,0.9918212890625,2.49209323392414
0.1,2.04471772999818,0.1,1.00135803222656,2.50905241249409
0.645739374217893,1.7683821460116,0.1,1.00326538085938,2.49509760026736
0.289151040482091,1.94721739974329,0.1,0.997543334960938,2.50379140636127
0.1,2.03978276798938,0.1,1.00326538085938,2.50342592582482
0.1,2.04655244640541,0.1,0.9918212890625,2.50689773879434
0.688785157854558,1.73460906002547,0.1,0.995635986328125,2.4978242271956
0.1,2.03163685074652,0.1,0.9918212890625,2.48817666032537
0.1,2.04298104462115,0.1,0.980377197265625,2.49547311385688
0.1,2.05051517921373,0.1,1.01470947265625,2.51847260332383
0.299665716785043,1.94606519089106,0.1,0.988006591796875,2.50290778875474
0.1,2.03921201168165,0.1,1.00326538085938,2.50346630718975
0.1,2.041970078242,0.1,1.00326538085938,2.50028508921913
0.489432258252446,1.84204643410694,0.1,1.00135803222656,2.50324144053551
0.1,2.04228451114864,0.1,0.997543334960938,2.49795062369087
0.1,2.02878752023288,0.1,1.01089477539062,2.49438119346918
0.1,2.04711798105726,0.1,0.997543334960938,2.50516983410807
0.493368236440994,1.83237108521917,0.1,0.9918212890625,2.49412440204323
