"gamma","lambda_0","theta","...4"
0.25,0.5,0.5,1.1897697522398
0.328947368421053,0.5,0.5,1.15759490587341
0.407894736842105,0.5,0.5,1.12951572519395
0.486842105263158,0.5,0.5,1.1049397222189
0.56578947368421,0.5,0.5,1.08339806941515
0.644736842105263,0.5,0.5,1.06451287318421
0.723684210526316,0.5,0.5,1.04797471003204
0.802631578947368,0.5,0.5,1.0335267652965
0.881578947368421,0.5,0.5,1.02095335916031
0.960526315789474,0.5,0.5,1.01007147012781
1.03947368421053,0.5,0.5,1.00072435655667
1.11842105263158,0.5,0.5,0.992776678242886
1.19736842105263,0.5,0.5,0.986110710874076
1.27631578947368,0.5,0.5,0.980623370171634
1.35526315789474,0.5,0.5,0.976223845026097
1.43421052631579,0.5,0.5,0.972831694950269
1.51315789473684,0.5,0.5,0.970375305942499
1.59210526315789,0.5,0.5,0.96879062614134
1.67105263157895,0.5,0.5,0.968020122160977
1.75,0.5,0.5,0.968011911141568
0.25,0.657894736842105,0.5,1.05913294489888
0.328947368421053,0.657894736842105,0.5,1.03735837661811
0.407894736842105,0.657894736842105,0.5,1.0183866067811
0.486842105263158,0.657894736842105,0.5,1.0018723838446
0.56578947368421,0.657894736842105,0.5,0.987532581109438
0.644736842105263,0.657894736842105,0.5,0.97513187418293
0.723684210526316,0.657894736842105,0.5,0.964472366113937
0.802631578947368,0.657894736842105,0.5,0.955385913047418
0.881578947368421,0.657894736842105,0.5,0.947728342361585
0.960526315789474,0.657894736842105,0.5,0.941375025430532
1.03947368421053,0.657894736842105,0.5,0.936217438384577
1.11842105263158,0.657894736842105,0.5,0.932160455630483
1.19736842105263,0.657894736842105,0.5,0.929120195058748
1.27631578947368,0.657894736842105,0.5,0.927022284283128
1.35526315789474,0.657894736842105,0.5,0.925800452180264
1.43421052631579,0.657894736842105,0.5,0.92539537460104
1.51315789473684,0.657894736842105,0.5,0.92575372072893
1.59210526315789,0.657894736842105,0.5,0.926827359334926
1.67105263157895,0.657894736842105,0.5,0.928572693569402
1.75,0.657894736842105,0.5,0.930950099917589
0.25,0.81578947368421,0.5,0.971473814382902
0.328947368421053,0.81578947368421,0.5,0.956853047682571
0.407894736842105,0.81578947368421,0.5,0.944272467081233
0.486842105263158,0.81578947368421,0.5,0.933513184006155
0.56578947368421,0.81578947368421,0.5,0.924390934516392
0.644736842105263,0.81578947368421,0.5,0.916749006236608
0.723684210526316,0.81578947368421,0.5,0.910452904701771
0.802631578947368,0.81578947368421,0.5,0.905386265803693
0.881578947368421,0.81578947368421,0.5,0.901447677814496
0.960526315789474,0.81578947368421,0.5,0.898548178529612
1.03947368421053,0.81578947368421,0.5,0.896609261079012
1.11842105263158,0.81578947368421,0.5,0.895561268218104
1.19736842105263,0.81578947368421,0.5,0.895342086975264
1.27631578947368,0.81578947368421,0.5,0.895896078138401
1.35526315789474,0.81578947368421,0.5,0.897173191246671
1.43421052631579,0.81578947368421,0.5,0.899128227504601
1.51315789473684,0.81578947368421,0.5,0.901720221679403
1.59210526315789,0.81578947368421,0.5,0.904911920476408
1.67105263157895,0.81578947368421,0.5,0.908669339730052
1.75,0.81578947368421,0.5,0.912961386429914
0.25,0.973684210526316,0.5,0.913033668853239
0.328947368421053,0.973684210526316,0.5,0.903641909988116
0.407894736842105,0.973684210526316,0.5,0.895802269769404
0.486842105263158,0.973684210526316,0.5,0.889367229002225
0.56578947368421,0.973684210526316,0.5,0.884210089544526
0.644736842105263,0.973684210526316,0.5,0.880221155513879
0.723684210526316,0.973684210526316,0.5,0.877304762353424
0.802631578947368,0.973684210526316,0.5,0.87537693558478
0.881578947368421,0.973684210526316,0.5,0.874363524271939
0.960526315789474,0.973684210526316,0.5,0.874198697233131
1.03947368421053,0.973684210526316,0.5,0.874823719865871
1.11842105263158,0.973684210526316,0.5,0.876185950488763
1.19736842105263,0.973684210526316,0.5,0.878238010172745
1.27631578947368,0.973684210526316,0.5,0.880937090981226
1.35526315789474,0.973684210526316,0.5,0.884244375594106
1.43421052631579,0.973684210526316,0.5,0.888124547289779
1.51315789473684,0.973684210526316,0.5,0.892545373776185
1.59210526315789,0.973684210526316,0.5,0.897477351797959
1.67105263157895,0.973684210526316,0.5,0.902893402085291
1.75,0.973684210526316,0.5,0.908768606254417
0.25,1.13157894736842,0.5,0.875790253475028
0.328947368421053,1.13157894736842,0.5,0.870390057390927
0.407894736842105,1.13157894736842,0.5,0.866210585172581
0.486842105263158,1.13157894736842,0.5,0.863147690025451
0.56578947368421,1.13157894736842,0.5,0.861110496032956
0.644736842105263,1.13157894736842,0.5,0.86001918956798
0.723684210526316,1.13157894736842,0.5,0.859803257665095
0.802631578947368,1.13157894736842,0.5,0.860400068088813
0.881578947368421,1.13157894736842,0.5,0.8617537138447
0.960526315789474,1.13157894736842,0.5,0.863814064644821
1.03947368421053,1.13157894736842,0.5,0.866535982001237
1.11842105263158,1.13157894736842,0.5,0.8698786649129
1.19736842105263,1.13157894736842,0.5,0.873805100687652
1.27631578947368,1.13157894736842,0.5,0.87828160108507
1.35526315789474,1.13157894736842,0.5,0.883277408217078
1.43421052631579,1.13157894736842,0.5,0.888764357878136
1.51315789473684,1.13157894736842,0.5,0.894716590461741
1.59210526315789,1.13157894736842,0.5,0.901110301545782
1.67105263157895,1.13157894736842,0.5,0.907923525734242
1.75,1.13157894736842,0.5,0.915135948527762
0.25,1.28947368421053,0.5,0.854642647800336
0.328947368421053,1.28947368421053,0.5,0.852390527653973
0.407894736842105,1.28947368421053,0.5,0.851123751326948
0.486842105263158,1.28947368421053,0.5,0.850766054772477
0.56578947368421,1.28947368421053,0.5,0.85125003157104
0.644736842105263,1.28947368421053,0.5,0.852515783695962
0.723684210526316,1.28947368421053,0.5,0.854509823141099
0.802631578947368,1.28947368421053,0.5,0.857184169943069
0.881578947368421,1.28947368421053,0.5,0.860495605535172
0.960526315789474,1.28947368421053,0.5,0.864405050114266
1.03947368421053,1.28947368421053,0.5,0.868877039877241
1.11842105263158,1.28947368421053,0.5,0.873879285330556
1.19736842105263,1.28947368421053,0.5,0.879382295904915
1.27631578947368,1.28947368421053,0.5,0.885359059173269
1.35526315789474,1.28947368421053,0.5,0.891784765326496
1.43421052631579,1.28947368421053,0.5,0.898636569387462
1.51315789473684,1.28947368421053,0.5,0.905893385071784
1.59210526315789,1.28947368421053,0.5,0.913535705328096
1.67105263157895,1.28947368421053,0.5,0.921545445482822
1.75,1.28947368421053,0.5,0.929905805627211
0.25,1.44736842105263,0.5,0.846140819393827
0.328947368421053,1.44736842105263,0.5,0.846435679978185
0.407894736842105,1.44736842105263,0.5,0.847542658153562
0.486842105263158,1.44736842105263,0.5,0.849404232861775
0.56578947368421,1.44736842105263,0.5,0.85196902066912
0.644736842105263,1.44736842105263,0.5,0.855190913844317
0.723684210526316,1.44736842105263,0.5,0.859028366654187
